Occurrences,Word,LgSUBTLWF,OLD,PLD,I_Mean_RT,I_Zscore,I_Mean_Accuracy
1,abandon,2.617,2.9,2.45,695.719,-0.312,0.97
1,abandonment,1.699,4.4,4.45,771.088,-0.002,1
1,abdomen,2.236,3,3,813.433,0.034,0.88
1,abdominal,2.243,3.75,4,715.548,-0.13,0.94
1,abduct,1.568,2.5,2.55,769.667,0.031,0.88
1,abduction,2.269,2.7,2.65,795.875,0.006,0.94
1,abide,2.143,1.7,1.85,773.212,-0.175,0.94
1,ability,2.992,2.3,2.3,619.677,-0.481,0.97
1,abject,1.322,2.35,2.75,692.667,0.069,0.28
1,ablaze,1.342,2.25,1.95,740.727,0.145,0.65
1,able,3.912,1.5,1.55,623.303,-0.497,1
1,abnormal,2.173,3.1,3.35,684.909,-0.185,1
1,abode,1.532,1.8,1.85,855.833,0.269,0.88
1,abolish,1.398,2.8,2.8,703.219,-0.26,0.97
1,abomination,1.771,,,,,
1,abort,2.373,1.95,1.9,672.484,-0.409,0.97
1,abortion,2.568,2.55,2.55,686.455,-0.324,0.97
1,abrasive,1.38,2.9,2.7,710.594,-0.254,0.94
1,abreast,1.431,2.7,1.75,846.484,0.406,0.94
1,abrupt,1.771,2.7,2.55,690.971,-0.186,1
1,abscess,1.415,2.7,2.05,"1,033.5",1.021,0.58
1,absence,2.509,2.65,2.65,687,-0.396,0.97
1,absent,2.121,1.95,2.7,665.324,-0.414,1
1,ABSINTHE,1.462,,,,,
1,absolve,1.477,2.8,2.95,730.12,-0.187,0.76
1,absorb,2.009,2.55,2.5,633.781,-0.537,0.97
1,abstain,1.431,2.75,2.6,729.5,-0.056,0.88
1,absurdity,1.518,3.75,3.6,860.469,0.223,0.94
1,abundance,1.663,3.55,3.1,698.727,-0.269,0.97
1,abundant,1.477,3.35,2.75,660.75,-0.344,0.97
1,abuse,2.719,1.8,1.85,608.688,-0.703,0.97
1,abusive,1.924,2.8,2.7,799.242,-0.112,0.97
1,abyss,1.959,2.45,1.9,651.44,-0.34,0.76
1,accelerate,1.819,3.25,3.75,710.853,-0.206,0.97
1,accelerated,1.699,3.35,3.65,741.562,-0.129,0.94
1,acceleration,1.653,3.2,3.65,712.156,-0.249,0.91
1,accelerator,1.845,3.7,4.1,838.229,-0.073,1
1,accent,2.794,1.85,2.2,674.97,-0.492,1
1,accept,3.43,2.35,2.3,556.394,-0.86,0.97
1,acceptance,2.209,3.8,3.6,660.75,-0.332,0.97
1,access,3.208,2,1.85,677.788,-0.474,0.97
1,accessible,1.756,3.75,3.4,709.219,-0.385,1
1,accessory,2.17,3.25,3.4,687.364,-0.327,0.97
1,accident,3.618,2.7,3.5,621.781,-0.61,0.97
1,acclaim,1.362,2.85,1.95,828.188,-0.054,0.94
1,accommodate,2.041,4.1,3.45,726.147,-0.152,1
1,accommodation,1.69,4.05,3.4,864.829,0.068,0.97
1,accompany,2.386,3.7,3.05,725.844,-0.22,0.91
1,accomplice,2.337,3.65,3.35,784.333,-0.06,0.97
1,accomplish,2.476,3.75,3.4,773.121,-0.227,0.97
1,accomplishment,1.987,4.7,4.1,803.062,0.039,0.97
1,accord,1.924,2.45,1.6,683.71,-0.378,0.97
1,accordion,1.833,3.6,2.95,930.2,0.4,0.76
1,account,3.358,2.6,2.1,619.382,-0.679,1
1,accountant,2.5,3.6,3.5,817.188,0.053,0.94
1,accounting,2.364,2.7,2.05,632.088,-0.43,1
1,accumulate,1.477,3.45,3.9,734.088,-0.242,1
1,accuracy,1.887,3.6,3.5,615.97,-0.614,1
1,accurate,2.603,2.75,2.75,728.242,-0.221,1
1,accursed,1.532,,,,,
1,accuse,2.464,2.25,1.7,626.364,-0.522,1
1,acetylene,1.38,4.5,3.75,"1,084",0.802,0.52
1,ache,2.107,1.65,1,631.655,-0.496,0.91
1,achieve,2.574,2.65,2.3,702.818,-0.491,0.97
1,acknowledge,2.497,4.35,3.4,771.375,-0.151,0.97
1,acknowledgement,1.342,6.05,4.5,735.759,0.1,0.88
1,acorn,1.58,1.8,1.85,721.963,-0.237,0.79
1,acoustic,1.699,3.1,2.7,793.438,0.189,0.97
1,acoustics,1.362,3.5,3.25,789.033,-0.021,0.91
1,acquaintance,2.438,5.3,3.85,807.452,0.08,1
1,acquire,2.134,2.55,1.8,673.939,-0.302,0.94
1,acquisition,1.875,3.55,3,785.594,-0.005,0.94
1,acquit,1.398,2.75,1.95,832.44,0.279,0.86
1,acquittal,1.58,3.85,2.7,905.538,0.395,0.81
1,act,3.745,1.5,1,635.182,-0.56,1
1,action,3.494,1.85,1.8,564.125,-0.801,1
1,activate,2.378,2.6,2.75,657.353,-0.452,0.97
1,activation,1.643,2.8,2.8,806.543,0.194,1
1,active,2.767,2.1,2.1,632.743,-0.595,1
1,activist,1.708,3.2,3.65,697.688,-0.244,1
1,activity,2.818,2.55,3,714.839,-0.372,1
1,actuality,1.398,2.95,4.15,829,0.046,1
1,acupuncture,1.58,4.75,6.45,853.2,0.316,0.91
1,adage,1.518,2,1.95,769.846,0.383,0.41
1,adamant,1.708,2.95,2.5,823,0.198,0.66
1,adapt,2.13,1.95,1.9,660.364,-0.556,1
1,adaptation,1.914,3.2,3.55,804.5,0.089,0.94
1,add,3.227,1.6,1,657.545,-0.576,1
1,addict,2.438,2.45,1.9,600.903,-0.7,0.97
1,addiction,2.301,2.7,2.2,628.286,-0.457,0.97
1,addictive,1.763,,,,,
