Word,Socialness,Concreteness,Valence_ext,Frequency,OLD,LDT_zRT,LDT_Accuracy,AoA.Rating,AoA.Test,WordType,zRTclean_mean,ACC,Hits,FalseAlarms,Hit_min_FA,Phonemes_no,phono_upoint,pld20_m,us_ldt_zrt_m,us_ldt_acc,us_ldt_zrtmdur_m,uk_ldt_zrt_m,uk_ldt_acc,uk_ldt_zrtmdur_m,sg_ldt_zrt_m,sg_ldt_acc,sg_ldt_zrtmdur_m,Length
abandon,4.782608695652174,2.54,2.16,2.617,2.9,-0.312,0.97,8.32,6,NA,NA,NA,NA,NA,NA,7,8,2.7,-0.677086464,1,-0.300224869,-0.860921168,0.98245614,-0.355754762,-0.390351154,0.963636364,-0.437724947,7
abandonment,4.681818181818182,2.54,2.37,1.699,4.4,-0.002,1,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
abdomen,2.217391304347826,4.7,0.4299999999999997,2.236,3,0.034,0.88,8.61,6,Concrete,-0.33,100.00%,NA,NA,NA,7,4,2.95,-0.514463968,0.865671642,0.105103536,-0.398345406,0.888888889,0.464478485,-0.706931945,0.962264151,-0.413443444,7
abdominal,2.2857142857142856,4.28,0.5199999999999996,2.243,3.75,-0.13,0.94,10.24,6,Concrete,0.38,80.65%,NA,NA,NA,9,4,3.8,-0.227917483,0.923076923,-0.235755363,-0.3746763,0.947368421,-0.129313493,-0.062806992,0.944444444,-0.425548485,9
abduct,5,2.88,2.58,1.568,2.5,0.031,0.88,11.26,10,NA,NA,NA,0.75,0.23,0.52,6,6,2.55,-0.604476115,0.924242424,-0.390949793,-0.375226542,1,-0.302256856,-0.361206599,0.981818182,-0.401584424,6
abduction,5.285714285714286,3.07,2.95,2.269,2.7,0.006,0.94,11.94,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
abide,4.904761904761905,1.68,0.5199999999999996,2.143,1.7,-0.175,0.94,9.5,8,Abstract,0.02,83.87%,NA,NA,NA,4,5,1.8,-0.685974024,0.984848485,-0.370905918,-0.374724557,0.982142857,0.09463435,-0.583250646,0.927272727,-0.015156222,5
ability,4.782608695652174,1.81,2,2.992,2.3,-0.481,0.97,8.84,2,Abstract,-0.48,96.88%,NA,NA,NA,7,4,2.1,-0.819591396,0.96969697,-0.37350401,-0.8814228,1,-0.155085538,-0.718369523,1,-0.629887427,7
abject,3.5,1.67,1,1.322,2.35,0.069,0.28,14,14,Abstract,0.48,87.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
ablaze,2.5652173913043477,3.82,0.15000000000000036,1.342,2.25,0.145,0.65,10.83,2,Concrete,0.2,48.39%,NA,NA,NA,5,4,1.95,-0.271935024,0.727272727,0.123982908,-0.265648719,0.857142857,-0.257453436,-0.134608857,0.909090909,-0.257482047,6
