item,e1hit,e1fa,e1h_fa,e2hit,e2fa,e2h_fa,both_hit,both_fa,both_h_fa,d_both,c_both,logzeno,sub_freq,aoa,img_rating,pon,old,pld,Length
ace,0.68,0.10,0.58,0.73,0.03,0.70,0.71,0.07,0.64,2.03,0.47,0.42,3.80,4.44,4.50,12.00,1.00,1.00,3.00
ache,0.89,0.10,0.79,0.73,0.07,0.67,0.81,0.09,0.73,2.26,0.24,0.82,4.66,4.16,3.80,1.00,1.65,1.00,4.00
act,0.60,0.19,0.41,0.77,0.17,0.60,0.68,0.18,0.51,1.41,0.23,2.21,4.87,3.44,3.50,6.00,1.50,1.00,3.00
add,0.50,0.10,0.40,0.60,0.10,0.50,0.55,0.10,0.45,1.40,0.57,1.89,5.27,2.69,3.30,1.00,1.60,1.00,3.00
aft,0.83,0.07,0.76,0.83,0.07,0.77,0.83,0.07,0.76,2.44,0.26,0.56,1.73,6.44,1.60,11.00,1.50,1.40,3.00
age,0.59,0.04,0.55,0.73,0.13,0.60,0.66,0.08,0.58,1.79,0.48,2.35,5.53,2.91,3.40,8.00,1.10,1.40,3.00
aid,0.54,0.14,0.40,0.83,0.17,0.67,0.68,0.15,0.53,1.51,0.27,1.79,4.37,3.71,3.50,7.00,1.00,1.00,3.00
aide,0.64,0.10,0.54,0.70,0.13,0.57,0.67,0.12,0.55,1.63,0.37,0.66,3.27,5.25,2.50,1.00,1.35,1.00,4.00
aim,0.70,0.15,0.55,0.77,0.20,0.57,0.73,0.17,0.56,1.56,0.16,1.27,4.10,3.63,3.90,3.00,1.40,1.00,3.00
air,0.67,0.13,0.53,0.77,0.23,0.53,0.72,0.18,0.53,1.48,0.16,2.82,5.53,2.78,4.00,10.00,1.45,1.00,3.00
aisle,0.66,0.14,0.51,0.73,0.07,0.67,0.69,0.10,0.59,1.76,0.37,0.98,4.10,4.38,5.30,1.00,1.90,1.00,5.00
ale,0.97,0.30,0.67,0.90,0.27,0.63,0.93,0.28,0.65,2.08,-0.46,0.55,3.23,5.39,4.00,16.00,1.00,1.00,3.00
all,0.54,0.03,0.50,0.57,0.13,0.43,0.55,0.08,0.47,1.51,0.63,2.53,6.50,2.53,2.30,13.00,1.20,1.00,3.00
and,0.79,0.21,0.58,0.63,0.07,0.57,0.71,0.14,0.57,1.64,0.26,4.44,7.00,2.25,1.30,12.00,1.25,1.00,3.00
ant,0.89,0.07,0.82,0.87,0.20,0.67,0.88,0.13,0.75,2.28,-0.03,1.21,3.63,2.31,6.70,11.00,1.20,1.20,3.00
ape,0.86,0.07,0.79,0.90,0.17,0.73,0.88,0.12,0.76,2.35,0.01,0.97,3.33,3.38,6.80,12.00,1.15,1.05,3.00
