word_us,n_phon,phono_upoint,pld20_m,pld20_sd,sg_ldt_acc,sg_ldt_acc_n,us_ldt_acc,us_ldt_acc_n,uk_ldt_acc,uk_ldt_acc_n,sg_ldt_zrt_m,sg_ldt_zrt_sd,sg_ldt_zrt_n,us_ldt_zrt_m,us_ldt_zrt_sd,us_ldt_zrt_n,uk_ldt_zrt_m,uk_ldt_zrt_sd,uk_ldt_zrt_n,sg_ldt_zrtmdur_m,sg_ldt_zrtmdur_sd,sg_ldt_zrtmdur_n,us_ldt_zrtmdur_m,us_ldt_zrtmdur_sd,us_ldt_zrtmdur_n,uk_ldt_zrtmdur_m,uk_ldt_zrtmdur_sd,uk_ldt_zrtmdur_n,...30
abandon,7,8,2.7,0.571240570577479,0.963636364,55,1,66,0.98245614,57,-0.390351154,0.805710892,53,-0.677086464,0.554382996,65,-0.860921168,0.487017845,56,-0.437724947,0.696877268,53,-0.300224869,0.559647273,65,-0.355754762,0.512767061,56,NA
abdomen,7,4,2.95,0.223606797749978,0.962264151,53,0.865671642,67,0.888888889,54,-0.706931945,0.382160099,50,-0.514463968,0.620668571,56,-0.398345406,0.683405917,47,-0.413443444,0.380654946,50,0.105103536,0.55914701,56,0.464478485,0.729748026,47,NA
abdominal,9,4,3.8,0.410391340834061,0.944444444,54,0.923076923,65,0.947368421,57,-0.062806992,0.668986418,49,-0.227917483,0.6093395,59,-0.3746763,0.444986102,53,-0.425548485,0.505498299,49,-0.235755363,0.591862337,59,-0.129313493,0.440817084,53,NA
abduct,6,6,2.55,0.604805318829299,0.981818182,55,0.924242424,66,1,57,-0.361206599,0.782161964,54,-0.604476115,0.721167267,61,-0.375226542,0.492452151,55,-0.401584424,0.757186261,54,-0.390949793,0.675041274,61,-0.302256856,0.527719326,55,NA
abide,4,5,1.8,0.410391340834061,0.927272727,55,0.984848485,66,0.982142857,56,-0.583250646,0.41478931,51,-0.685974024,0.43481309,65,-0.374724557,0.722596982,54,-0.015156222,0.544388919,51,-0.370905918,0.447810965,65,0.09463435,0.691482956,54,NA
ability,7,4,2.1,0.552506251453082,1,54,0.96969697,66,1,56,-0.718369523,0.701467221,53,-0.819591396,0.588692523,64,-0.8814228,0.744207053,55,-0.629887427,0.662333729,53,-0.37350401,0.700485988,64,-0.155085538,0.737624634,55,NA
ablaze,5,4,1.95,0.223606797749979,0.909090909,55,0.727272727,66,0.857142857,56,-0.134608857,0.545641449,48,-0.271935024,0.512597402,47,-0.265648719,0.526967997,47,-0.257482047,0.754901171,48,0.123982908,0.489392172,47,-0.257453436,0.4747264,47,NA
able,4,3,1.7,0.47016234598162704,0.981818182,55,0.984848485,66,0.946428571,56,-0.836692743,0.527939218,54,-1.288751442,0.51754585,62,-1.035397127,0.505278233,53,-0.341867072,0.514394782,54,0.024376494,0.561550349,62,0.050510662,0.516130533,53,NA
abnormal,8,9,3.15,0.812727700887249,0.963636364,55,1,66,1,57,-0.535614529,0.622866252,53,-0.584358407,0.497258806,66,-0.522738885,0.663024,57,-0.539562656,0.645466187,53,-0.207430622,0.515054133,66,-0.179427475,0.62136062,57,NA
abolish,6,4,2.75,0.444261658319319,0.944444444,54,0.96969697,66,1,56,-0.713649612,0.368317144,51,-0.302852593,0.710180078,63,-0.9089169,0.45095554,55,-0.766498355,0.357260183,51,-0.710574559,0.710030995,63,-0.547173951,0.403771144,55,NA
abortion,7,8,2.65,0.5871429486124,0.981132075,53,1,68,1,55,-0.611380672,0.369222306,51,-0.689169072,0.450592496,67,-0.811577666,0.532250016,55,-0.579183512,0.374442285,51,-0.266817126,0.468016307,67,-0.183486255,0.486816118,55,NA
abrasive,7,5,2.65,0.48936048492959294,0.927272727,55,0.924242424,66,0.947368421,57,0.061234839,0.702154925,49,-0.232669917,0.644244575,60,-0.466976037,0.529192603,53,-0.431295212,0.663343834,49,-0.664518837,0.628603535,60,-0.350989079,0.625639817,53,NA
abrupt,6,7,2.5,0.606976978666883,0.909090909,55,0.939393939,66,0.929824561,57,-0.767122137,0.522114051,49,-0.406624134,0.550108724,60,-0.749681515,0.536327649,53,-0.369019782,0.525571918,49,-0.569959927,0.485861829,60,-0.170660614,0.542091845,53,NA
absence,6,6,2.5,0.606976978666883,0.962962963,54,1,65,0.964285714,56,-0.21935972,0.489412898,50,-0.38986428,0.61033802,64,-0.551614641,0.52503336,54,-0.423004583,0.499324782,50,-0.596861824,0.656006053,64,-0.757548089,0.525308227,54,NA
absent,6,7,2.1,0.552506251453082,0.962962963,54,0.985074627,67,0.98245614,57,-0.133793374,0.557796856,51,-0.234271935,0.734756264,66,-0.500779328,0.514912738,55,-0.072850133,0.560587549,51,-0.141007367,0.719506653,66,0.015161075,0.528854819,55,NA
absorb,6,7,2.7,0.571240570577479,0.981481481,54,0.955223881,67,0.982142857,56,-0.633790796,0.568375374,52,-0.263318776,0.748468513,64,-0.496448017,0.612039154,54,-0.189129965,0.572237503,52,-0.17929171,0.758544094,64,-0.478086595,0.599351218,54,NA
abstain,6,5,2.55,0.604805318829299,0.981132075,53,0.970588235,68,0.945454545,55,-0.121566833,0.500154273,51,-0.435401004,0.576645076,65,-0.483599485,0.681010056,52,-0.713413569,0.493381105,51,-0.331850921,0.542872944,65,-0.006605669,0.693013709,52,NA
abundant,8,8,2.65,0.5871429486124,0.962264151,53,0.985294118,68,0.981818182,55,-0.325903769,0.674814972,49,-0.199867928,0.753503172,66,-0.306672382,0.765117758,52,-0.761562333,0.615393391,49,-0.336474725,0.819865016,66,-0.096185404,0.720096093,52,NA
abuse,5,6,1.8,0.410391340834061,1,54,0.984848485,66,1,56,-0.885439547,0.338334311,52,-0.701243652,0.667041575,64,-0.454112729,0.647949226,56,-0.762184962,0.380557671,52,-0.861574848,0.69001751,64,-0.994724608,0.72537048,56,NA
accelerate,9,9,3.65,0.5871429486124,0.981818182,55,1,66,0.98245614,57,-0.169562364,0.59955689,51,-0.223225717,0.682463385,63,-0.196527116,0.615038407,56,-0.662818819,0.565792839,51,-0.531249734,0.665539606,63,-0.549905195,0.569730063,56,NA
