item,valence,arousal,img,aoa,length,SUBTLWF,LgSUBTLWF,OLD,PLD,e2hit,e2fa,e2hminfa,e1hit,e1fa,e1hminfa,valstrength,e1e2hits,e1e2fas,e1e2hminfas,valxarousal
abbey,5.85,2.20,4.5,5.70,5,3.18,2.21,2.15,1.55,.90,.10,.80,.80,.17,.63,.85,.85,.13,.72,1.87
abbot,,,3.5,6.03,5,.84,1.64,2.35,1.85,.80,.13,.67,.67,.10,.57,,.73,.12,.62,
abduct,2.42,5.90,4.8,5.12,6,.71,1.57,2.50,2.55,.73,.23,.50,.77,.23,.53,2.58,.75,.23,.52,15.22
able,6.64,3.38,2.5,3.91,4,159.90,3.91,1.50,1.55,.63,.10,.53,.60,.30,.30,1.64,.62,.20,.42,5.54
aboard,,,4.8,4.73,6,26.63,3.13,2.30,1.60,.73,.43,.30,.73,.37,.37,,.73,.40,.33,
abode,5.28,2.90,3.1,5.94,5,.65,1.53,1.80,1.85,.87,.13,.73,.60,.13,.47,.28,.73,.13,.60,.81
abort,3.10,5.80,4.2,5.30,5,4.61,2.37,1.95,1.90,.90,.30,.60,.83,.37,.47,1.90,.87,.33,.53,11.02
about,,,1.9,3.76,5,3631.49,5.27,1.85,1.95,.47,.23,.23,.50,.23,.27,,.48,.23,.25,
above,,,4.1,3.55,5,48.88,3.40,1.95,1.95,.73,.13,.60,.67,.17,.50,,.70,.15,.55,
abreast,4.62,4.61,1.8,6.24,7,.51,1.43,2.70,1.75,.77,.13,.63,.93,.10,.83,.38,.85,.12,.73,1.75
abroad,,,4.1,5.36,6,4.90,2.40,2.55,1.95,.67,.23,.43,.83,.17,.67,,.75,.20,.55,
abrupt,3.28,5.23,3.2,5.45,6,1.14,1.77,2.70,2.55,.73,.30,.43,.60,.37,.23,1.72,.67,.33,.33,9.00
absence,3.86,4.30,4.1,4.82,7,6.31,2.51,2.65,2.65,.80,.53,.27,.60,.47,.13,1.14,.70,.50,.20,4.90
absent,4.10,3.72,4.0,4.33,6,2.57,2.12,1.95,2.70,.70,.47,.23,.70,.27,.43,.90,.70,.37,.33,3.35
absolve,4.58,3.53,2.5,5.64,7,.57,1.48,2.80,2.95,.53,.03,.50,.60,.07,.53,.42,.57,.05,.52,1.48
absorb,5.50,4.27,4.4,5.12,6,1.98,2.01,2.55,2.50,.80,.20,.60,.63,.40,.23,.50,.72,.30,.42,2.14
abstract,5.25,3.96,3.9,5.45,8,2.18,2.05,2.65,2.65,.83,.47,.37,.67,.57,.10,.25,.75,.52,.23,.99
absurd,4.45,4.02,2.9,5.48,6,9.71,2.70,2.70,2.65,.83,.27,.57,.63,.37,.27,.55,.73,.32,.42,2.21
abuse,1.53,6.21,4.9,4.67,5,10.25,2.72,1.80,1.85,.73,.27,.47,.70,.33,.37,3.47,.72,.30,.42,21.55
abyss,3.90,4.85,4.1,5.97,5,1.76,1.96,2.45,1.90,.93,.07,.87,.70,.10,.60,1.10,.82,.08,.73,5.34
accent,6.48,4.95,3.7,5.06,6,12.18,2.79,1.85,2.20,.80,.17,.63,.83,.33,.50,1.48,.82,.25,.57,7.33
accept,6.39,2.80,3.3,4.45,6,52.78,3.43,2.35,2.30,.77,.40,.37,.70,.37,.33,1.39,.73,.38,.35,3.89
access,6.68,5.30,3.1,5.12,6,31.67,3.21,2.00,1.85,.73,.23,.50,.63,.30,.33,1.68,.68,.27,.42,8.90
accord,6.38,2.85,2.5,5.36,6,1.63,1.92,2.45,1.60,.87,.23,.63,.73,.50,.23,1.38,.80,.37,.43,3.93
account,5.39,3.76,4.1,5.21,7,44.71,3.36,2.60,2.10,.73,.43,.30,.57,.33,.23,.39,.65,.38,.27,1.47
accuse,2.68,5.32,3.4,4.64,6,5.69,2.46,2.25,1.70,.73,.23,.50,.50,.20,.30,2.32,.62,.22,.40,12.34
