StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent_Q,D1,D2,Q6,Q6_8_TEXT,ResponseID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"By selecting ‘Yes, I agree to participate’, this acts as an electronic signature and indicates that you 1) understand to your satisfaction the information provided to you about your participation in this research project, and 2) agree to participate as a research subject.","What is your age? 

Please respond using numbers rather than text.","How many years of education do you have?

For example, if you completed Grades 1 to 12 and have completed 2 years of university, your answer would be 14.

Please respond using only numbers, rather than text.",Please select how you identify (select all that apply): - Selected Choice,Please select how you identify (select all that apply): - Another gender identity (please specify) - Text,ResponseID
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_8_TEXT""}","{""ImportId"":""QSEDResponseID""}"
2022-06-13 16:30:26,2022-06-13 16:31:10,IP Address,100,43,TRUE,2022-06-13 16:31:10,R_3ISMymWzbZIgYqQ,anonymous,EN,1,Yes - I agree to participate,32,16,Woman,-99,R_3ISMymWzbZIgYqQ
2022-06-13 17:25:30,2022-06-13 17:26:15,IP Address,100,44,TRUE,2022-06-13 17:26:15,R_3Pts50E1NYtCe4D,anonymous,EN,1,Yes - I agree to participate,53,17,Man,-99,R_3Pts50E1NYtCe4D
2022-06-13 17:26:28,2022-06-13 17:27:07,IP Address,100,38,TRUE,2022-06-13 17:27:07,R_1cTebjnfTz4D2fW,anonymous,EN,1,Yes - I agree to participate,20,14,Woman,-99,R_1cTebjnfTz4D2fW
2022-06-13 17:25:13,2022-06-13 17:27:20,IP Address,100,126,TRUE,2022-06-13 17:27:20,R_2Ra12OMI9sTsr7I,anonymous,EN,1,Yes - I agree to participate,21,14,Man,-99,R_2Ra12OMI9sTsr7I
2022-06-13 17:28:30,2022-06-13 17:30:02,IP Address,100,92,TRUE,2022-06-13 17:30:03,R_3fdU0V1SzZ68yAa,anonymous,EN,0.8999999761581420,Yes - I agree to participate,22,16,Woman,-99,R_3fdU0V1SzZ68yAa
2022-06-13 17:28:48,2022-06-13 17:30:19,IP Address,100,90,TRUE,2022-06-13 17:30:19,R_3CrJIlQ34zA7oB3,anonymous,EN,0.8999999761581420,Yes - I agree to participate,47,20,Woman,-99,R_3CrJIlQ34zA7oB3
2022-06-13 17:30:36,2022-06-13 17:31:12,IP Address,100,36,TRUE,2022-06-13 17:31:12,R_1IZx8go9nCHC3q9,anonymous,EN,1,Yes - I agree to participate,21,15,Woman,-99,R_1IZx8go9nCHC3q9
2022-06-13 17:29:37,2022-06-13 17:31:19,IP Address,100,102,TRUE,2022-06-13 17:31:19,R_2sXtvWa1hsv9QIp,anonymous,EN,0.8999999761581420,Yes - I agree to participate,28,18,Woman,-99,R_2sXtvWa1hsv9QIp
2022-06-13 17:28:25,2022-06-13 17:41:09,IP Address,100,763,TRUE,2022-06-13 17:41:09,R_3PaWHUr0MxhkRFt,anonymous,EN,1,Yes - I agree to participate,38,16,Man,-99,R_3PaWHUr0MxhkRFt
2022-06-13 18:16:32,2022-06-13 18:18:11,IP Address,100,99,TRUE,2022-06-13 18:18:12,R_24fwY77GeQcozJf,anonymous,EN,1,Yes - I agree to participate,20,14,Man,-99,R_24fwY77GeQcozJf
2022-06-13 18:23:43,2022-06-13 18:24:18,IP Address,100,35,TRUE,2022-06-13 18:24:18,R_1gtNKrdQkehsLYV,anonymous,EN,1,Yes - I agree to participate,47,12,Man,-99,R_1gtNKrdQkehsLYV
2022-06-13 18:23:54,2022-06-13 18:24:18,IP Address,100,24,TRUE,2022-06-13 18:24:19,R_PNWpofcPRcPwCit,anonymous,EN,0.8999999761581420,Yes - I agree to participate,29,15,Man,-99,R_PNWpofcPRcPwCit
2022-06-13 18:24:01,2022-06-13 18:24:27,IP Address,100,25,TRUE,2022-06-13 18:24:27,R_1pYD7QKz5G1Tu7B,anonymous,EN,1,Yes - I agree to participate,34,17,Man,-99,R_1pYD7QKz5G1Tu7B
2022-06-13 18:24:19,2022-06-13 18:24:45,IP Address,100,26,TRUE,2022-06-13 18:24:45,R_R3LXZ22kSw4XmWR,anonymous,EN,0.8999999761581420,Yes - I agree to participate,21,15,Prefer not to answer,-99,R_R3LXZ22kSw4XmWR
2022-06-13 18:23:50,2022-06-13 18:24:55,IP Address,100,64,TRUE,2022-06-13 18:24:55,R_5BjqrQ4P6opQ8yR,anonymous,EN,1,Yes - I agree to participate,60,12,Man,-99,R_5BjqrQ4P6opQ8yR
2022-06-13 18:24:38,2022-06-13 18:25:37,IP Address,100,59,TRUE,2022-06-13 18:25:38,R_41pn324TzlkEAGB,anonymous,EN,1,Yes - I agree to participate,32,18,Man,-99,R_41pn324TzlkEAGB
2022-06-13 18:24:33,2022-06-13 18:25:51,IP Address,100,77,TRUE,2022-06-13 18:25:52,R_1IKsnkWpRsjTaI2,anonymous,EN,1,Yes - I agree to participate,60,12,Woman,-99,R_1IKsnkWpRsjTaI2
2022-06-13 18:25:06,2022-06-13 18:26:13,IP Address,100,67,TRUE,2022-06-13 18:26:14,R_28S6McyHJYe5kyD,anonymous,EN,1,Yes - I agree to participate,37,17,Woman,-99,R_28S6McyHJYe5kyD
2022-06-13 18:25:40,2022-06-13 18:26:20,IP Address,100,40,TRUE,2022-06-13 18:26:21,R_24MJNqpUAPpG0Yy,anonymous,EN,1,Yes - I agree to participate,42,15,Woman,-99,R_24MJNqpUAPpG0Yy
2022-06-13 18:25:09,2022-06-13 18:36:27,IP Address,100,678,TRUE,2022-06-13 18:36:27,R_1rDEiPc8MBvaWCj,anonymous,EN,0.8999999761581420,Yes - I agree to participate,44,20,Non-binary,-99,R_1rDEiPc8MBvaWCj
2022-06-13 19:30:42,2022-06-13 19:31:09,IP Address,100,26,TRUE,2022-06-13 19:31:09,R_3GAFbDMtgTIyxS5,anonymous,EN,0.8999999761581420,Yes - I agree to participate,28,15,Man,-99,R_3GAFbDMtgTIyxS5
2022-06-13 19:30:56,2022-06-13 19:31:32,IP Address,100,35,TRUE,2022-06-13 19:31:32,R_3nNrVVaW7f9eLDq,anonymous,EN,1,Yes - I agree to participate,18,12,Man,-99,R_3nNrVVaW7f9eLDq
2022-06-13 19:30:37,2022-06-13 19:31:45,IP Address,100,67,TRUE,2022-06-13 19:31:45,R_sG9EMpVOcjAC2nT,anonymous,EN,1,Yes - I agree to participate,20,13,Man,-99,R_sG9EMpVOcjAC2nT
2022-06-13 19:30:44,2022-06-13 19:32:03,IP Address,100,78,TRUE,2022-06-13 19:32:03,R_VUoLnXCpagrKhwZ,anonymous,EN,1,Yes - I agree to participate,25,19,Woman,-99,R_VUoLnXCpagrKhwZ
2022-06-13 19:31:06,2022-06-13 19:32:05,IP Address,100,58,TRUE,2022-06-13 19:32:05,R_3LhhwDiDjW1onYZ,anonymous,EN,0.8999999761581420,Yes - I agree to participate,21,14,Man,-99,R_3LhhwDiDjW1onYZ
