participant,Word,ACC,RT,PoS,Socialness,Concreteness
R_124EIVnDvUemy0C,advise,1,0.643,Verb,Social,2.03
R_124EIVnDvUemy0C,savior,1,NA,Noun,Social,3.04
R_124EIVnDvUemy0C,arise,1,0.693,Verb,Nonsocial,3.17
R_124EIVnDvUemy0C,conspire,1,0.743,Verb,Social,2.67
R_124EIVnDvUemy0C,make,1,0.527,Verb,Nonsocial,2.67
R_124EIVnDvUemy0C,derive,1,0.927,Verb,Nonsocial,2
R_124EIVnDvUemy0C,tell,1,0.645,Verb,Social,2.9
R_124EIVnDvUemy0C,presenter,1,NA,Noun,Social,3.96
R_124EIVnDvUemy0C,community,1,NA,Noun,Social,3.52
R_124EIVnDvUemy0C,manhood,1,NA,Noun,Social,2.59
R_124EIVnDvUemy0C,foreigner,1,NA,Noun,Social,3.32
R_124EIVnDvUemy0C,sterilize,1,1.127,Verb,Nonsocial,2.97
R_124EIVnDvUemy0C,taunt,1,0.828,Verb,Social,2.93
R_124EIVnDvUemy0C,fidelity,1,NA,Noun,Social,1.87
R_124EIVnDvUemy0C,lend,1,0.712,Verb,Social,3.07
R_124EIVnDvUemy0C,inhabit,0,NA,Verb,Social,3.21
R_124EIVnDvUemy0C,impregnate,1,1.209,Verb,Social,3.29
R_124EIVnDvUemy0C,tolerate,1,0.646,Verb,Social,1.78
R_124EIVnDvUemy0C,wrestle,1,0.663,Verb,Social,4.33
R_124EIVnDvUemy0C,avenge,1,0.878,Verb,Social,2.07
R_124EIVnDvUemy0C,solution,1,NA,Noun,Nonsocial,2.61
R_124EIVnDvUemy0C,confide,0,NA,Verb,Social,1.81
R_124EIVnDvUemy0C,assess,0,NA,Verb,Nonsocial,2.26
R_124EIVnDvUemy0C,labor,1,NA,Noun,Social,3.08
R_124EIVnDvUemy0C,corruption,1,NA,Noun,Social,2.39
R_124EIVnDvUemy0C,humility,1,NA,Noun,Social,1.75
R_124EIVnDvUemy0C,congratulate,1,1.728,Verb,Social,3.04
R_124EIVnDvUemy0C,magnetism,1,NA,Noun,Nonsocial,2.54
R_124EIVnDvUemy0C,detail,1,NA,Noun,Nonsocial,2.5
R_124EIVnDvUemy0C,geology,1,NA,Noun,Nonsocial,2.9
R_124EIVnDvUemy0C,artistry,1,NA,Noun,Social,2
R_124EIVnDvUemy0C,adjust,1,0.83,Verb,Nonsocial,2.93
R_124EIVnDvUemy0C,mingle,1,0.858,Verb,Social,3.17
R_124EIVnDvUemy0C,untie,1,1.446,Verb,Nonsocial,3.89
R_124EIVnDvUemy0C,humanity,1,NA,Noun,Social,2.36
R_124EIVnDvUemy0C,genie,1,NA,Noun,Nonsocial,3.25
R_124EIVnDvUemy0C,summary,1,NA,Noun,Nonsocial,3.03
R_124EIVnDvUemy0C,accelerate,1,0.711,Verb,Nonsocial,3.48
R_124EIVnDvUemy0C,attract,1,0.563,Verb,Social,2.73
R_124EIVnDvUemy0C,series,1,NA,Noun,Nonsocial,2.92
R_124EIVnDvUemy0C,invite,1,0.643,Verb,Social,3
R_124EIVnDvUemy0C,attend,1,0.908,Verb,Social,3.17
R_124EIVnDvUemy0C,straddle,0,NA,Verb,Nonsocial,3.74
R_124EIVnDvUemy0C,vantage,1,NA,Noun,Nonsocial,1.93
R_124EIVnDvUemy0C,accompany,0,NA,Verb,Social,3.07
R_124EIVnDvUemy0C,foresight,1,NA,Noun,Nonsocial,1.79
R_124EIVnDvUemy0C,dynasty,1,NA,Noun,Social,2.46
R_124EIVnDvUemy0C,visualize,1,0.859,Verb,Nonsocial,2.45
R_124EIVnDvUemy0C,unload,1,0.86,Verb,Nonsocial,3.21
R_124EIVnDvUemy0C,remarry,1,0.997,Verb,Social,2.72
R_124EIVnDvUemy0C,radiate,1,0.676,Verb,Nonsocial,2.93
R_124EIVnDvUemy0C,alignment,1,NA,Noun,Nonsocial,3.26
R_124EIVnDvUemy0C,reconstruct,1,0.859,Verb,Nonsocial,3.2
R_124EIVnDvUemy0C,ventilation,1,NA,Noun,Nonsocial,3.48
R_124EIVnDvUemy0C,catalyst,1,NA,Noun,Nonsocial,2.85
R_124EIVnDvUemy0C,banish,1,0.645,Verb,Social,2.41
R_124EIVnDvUemy0C,enter,1,0.477,Verb,Nonsocial,3.12
R_124EIVnDvUemy0C,esteem,1,NA,Noun,Social,1.83
R_124EIVnDvUemy0C,wrapper,1,NA,Noun,Nonsocial,4.39
R_124EIVnDvUemy0C,potency,1,NA,Noun,Nonsocial,2.32
R_124EIVnDvUemy0C,heroism,1,NA,Noun,Social,2.67
R_124EIVnDvUemy0C,monarchy,1,NA,Noun,Social,2.55
R_124EIVnDvUemy0C,scramble,1,1.094,Verb,Nonsocial,3.31
R_124EIVnDvUemy0C,solitude,1,NA,Noun,Social,2.07
R_124EIVnDvUemy0C,maximize,1,0.692,Verb,Nonsocial,1.79
R_124EIVnDvUemy0C,maintain,1,0.911,Verb,Nonsocial,2.32
R_124EIVnDvUemy0C,entrust,0,NA,Verb,Social,2.16
R_124EIVnDvUemy0C,immigration,1,NA,Noun,Social,3.03
R_124EIVnDvUemy0C,install,1,0.693,Verb,Nonsocial,3.19
R_124EIVnDvUemy0C,job,1,NA,Noun,Social,3.19
R_124EIVnDvUemy0C,timing,1,NA,Noun,Nonsocial,2.86
R_124EIVnDvUemy0C,temptress,1,NA,Noun,Social,3.08
R_124EIVnDvUemy0C,unhook,1,0.929,Verb,Nonsocial,3.34
R_124EIVnDvUemy0C,fraction,1,NA,Noun,Nonsocial,3.1
R_124EIVnDvUemy0C,volumes,1,NA,Noun,Nonsocial,3.03
R_124EIVnDvUemy0C,decompose,1,1.042,Verb,Nonsocial,3
R_124EIVnDvUemy0C,preach,1,0.826,Verb,Social,3.37
R_124EIVnDvUemy0C,interact,1,0.601,Verb,Social,2.88
R_124EIVnDvUemy0C,confine,1,0.878,Verb,Nonsocial,3.07
R_124EIVnDvUemy0C,supervise,1,0.777,Verb,Social,2.48
R_124EIVnDvUemy0C,deteriorate,1,0.729,Verb,Nonsocial,3
R_124EIVnDvUemy0C,bribery,0,0.711,Noun,Social,2.89
R_124EIVnDvUemy0C,career,1,NA,Noun,Social,2.54
R_124EIVnDvUemy0C,engage,1,1.647,Verb,Social,2.07
R_124EIVnDvUemy0C,uprising,1,NA,Noun,Social,2.41
R_124EIVnDvUemy0C,administer,0,NA,Verb,Social,2.53
R_124EIVnDvUemy0C,colony,1,NA,Noun,Social,3.77
R_124EIVnDvUemy0C,migraine,1,NA,Noun,Nonsocial,3.2
R_124EIVnDvUemy0C,fireside,1,NA,Noun,Nonsocial,3.84
R_124EIVnDvUemy0C,reunite,1,0.927,Verb,Social,2.86
R_124EIVnDvUemy0C,advertise,1,0.625,Verb,Social,2.81
R_124EIVnDvUemy0C,stardom,1,NA,Noun,Social,2.26
R_124EIVnDvUemy0C,carpentry,1,NA,Noun,Nonsocial,3.48
R_124EIVnDvUemy0C,stepson,1,NA,Noun,Social,3.68
R_124EIVnDvUemy0C,trajectory,1,NA,Noun,Nonsocial,3.1
R_124EIVnDvUemy0C,compound,1,NA,Noun,Nonsocial,3.03
R_124EIVnDvUemy0C,fortnight,1,NA,Noun,Nonsocial,2.71
R_124EIVnDvUemy0C,congress,1,NA,Noun,Social,3.9
R_124EIVnDvUemy0C,reviewer,1,NA,Noun,Social,3.67
R_124EIVnDvUemy0C,freshen,0,NA,Verb,Nonsocial,2.17
R_124EIVnDvUemy0C,pray,1,1.561,Verb,Social,3.21
R_124EIVnDvUemy0C,guidance,1,NA,Noun,Social,2.46
R_124EIVnDvUemy0C,percentage,1,NA,Noun,Nonsocial,2.9
R_124EIVnDvUemy0C,medley,1,NA,Noun,Nonsocial,2.93
R_124EIVnDvUemy0C,conjure,1,1.46,Verb,Nonsocial,2.3
R_124EIVnDvUemy0C,seduce,1,0.626,Verb,Social,2.18
R_124EIVnDvUemy0C,manipulate,1,1.642,Verb,Social,2.55
R_124EIVnDvUemy0C,warfare,1,NA,Noun,Social,3.03
R_124EIVnDvUemy0C,onset,1,NA,Noun,Nonsocial,2.14
R_124EIVnDvUemy0C,soften,0,NA,Verb,Nonsocial,2.57
R_124EIVnDvUemy0C,management,1,NA,Noun,Social,2.72
R_124EIVnDvUemy0C,etiquette,1,NA,Noun,Social,2.15
R_124EIVnDvUemy0C,assist,1,1.579,Verb,Social,2.52
R_124EIVnDvUemy0C,minimize,1,1.229,Verb,Nonsocial,2.37
R_124EIVnDvUemy0C,history,1,NA,Noun,Social,2.96
R_124EIVnDvUemy0C,impediment,1,NA,Noun,Nonsocial,2.56
R_124EIVnDvUemy0C,talker,1,NA,Noun,Social,4.39
R_124EIVnDvUemy0C,renew,1,1.812,Verb,Nonsocial,2.07
R_124EIVnDvUemy0C,size,1,NA,Noun,Nonsocial,3.13
R_124EIVnDvUemy0C,layer,1,NA,Noun,Nonsocial,3.52
R_124EIVnDvUemy0C,infiltrate,1,1.194,Verb,Social,2.71
