intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,4.188,space,14.868,k,1,0.726,0,0,0,1,1,A1_B2,reduce,k,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.526,0,1,1,5,1,A1_B2,solve,k,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0.542,0,2,2,4,1,A1_B1,jungle,,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,3,3,6,1,A2_B1,drama,,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,4,4,2,1,A2_B1,heartbreak,,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,5,5,0,1,A1_B1,obstacle,,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.726,0,6,6,3,1,A2_B2,adopt,k,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.643,0,7,7,7,1,A2_B2,convince,k,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.643,,,,,,A2_B2,advise,k,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,space,7.108,,0,0,0,171,1,53,A1_B1,5.590909091,Verb,1,8.89,2.03,5.44,2.795,6,,,
,,,,,1,,,,,,,A2_B1,savior,,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,0,1,1,46,1,16,A1_B2,5.565217391,Noun,0.88,6.68,3.04,6.59,2.24,6,,,
,,,,k,1,0.693,,,,,,A1_B2,arise,k,R_124EIVnDvUemy0C,MainVerb,2022-06-14_12h31.48.685,SCT_verb,2021.2.3,Linux x86_64,62.34413965,,,,0,2,2,45,1,16,A1_B2,2.619047619,Verb,1,6.89,3.17,6.17,2.182,5,,,
