intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,7.376200001,space,48.1107,k,1,1.5151,0,0,0,7,1,A2_B2,convince,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.107,0,1,1,5,1,A1_B2,solve,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,2,2,4,1,A1_B1,jungle,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,3,3,2,1,A2_B1,heartbreak,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.071,0,4,4,1,1,A1_B2,reduce,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,5,5,0,1,A1_B1,obstacle,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0.803200001,0,6,6,6,1,A2_B1,drama,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.370699999,0,7,7,3,1,A2_B2,adopt,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.9355,,,,,,A1_B2,assess,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,space,26.2925,,0,0,0,17,1,6,A2_B2,2.652173913,Verb,1,11.37,2.26,5.84,1.924,6,,,
,,,,,1,,,,,,,A1_B1,metaphor,,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,1,1,244,1,3,A2_B1,2.652173913,Noun,1,11.59,1.94,6.11,2.299,8,,,
,,,,k,1,1.01,,,,,,A1_B2,unravel,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,2,2,129,1,41,A1_B1,2.8,Verb,1,10.16,2.59,4.39,1.699,7,,,
,,,,k,1,1.783099998,,,,,,A2_B2,remarry,k,R_1Hq95PK6u7t3Dc0,MainVerb,2022-06-13_22h18.51.547,SCT_verb,2021.2.3,Win32,29.87214721,,,,0,3,3,71,1,22,A2_B2,5.652173913,Verb,1,8.65,2.72,5.52,1.653,7,,,
