intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,7.061,space,26.206,,1,0,0,0,6,1,A2_B1,drama,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,1,1,5,1,A1_B2,solve,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,0.811,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,1,1,A1_B2,reduce,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,0.7869,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,3,3,4,1,A1_B1,jungle,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,4,4,0,1,A1_B1,obstacle,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,5,5,3,1,A2_B2,adopt,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.1655,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,6,6,7,1,A2_B2,convince,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,0.8978,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,7,7,2,1,A2_B1,heartbreak,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,A1_B1,standstill,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,space,8.982,,0,0,0,212,1,66,A1_B1,2.863636364,Noun,1,10,2.39,4.74,1.431,10,,,
,,,,k,1,,,,,,A1_B2,visualize,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,0.9379,,,,0,1,1,49,1,17,A2_B1,2.458333333,Verb,1,9.88,2.45,6.58,1.949,9,,,
,,,,k,1,,,,,,A2_B2,liberate,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,0.854,,,,0,2,2,75,1,23,A1_B1,5.217391304,Verb,1,11.75,2.29,5.79,1.778,8,,,
,,,,,1,,,,,,A2_B1,event,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,3,3,138,1,43,A1_B2,5.130434783,Noun,1,7.81,2.69,6.21,3.129,5,,,
,,,,k,1,,,,,,A2_B2,banish,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.0514,,,,0,4,4,35,1,10,A2_B2,5.136363636,Verb,1,9.89,2.41,3.85,1.845,6,,,
,,,,k,0,,,,,,A1_B1,option,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,2.4581,,,,0,5,5,220,1,68,A2_B2,2.791666667,Noun,1,8.79,2.39,6.37,2.868,6,,,
,,,,k,1,,,,,,A1_B2,accelerate,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,0.7984,,,,0,6,6,189,1,59,A1_B1,2.25,Verb,1,10.74,3.48,6.1,1.819,10,,,
,,,,k,1,,,,,,A1_B2,obstruct,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.282,,,,0,7,7,185,1,58,A1_B2,2.45,Verb,1,10.94,2.46,3.61,1.491,8,,,
,,,,,1,,,,,,A2_B1,humility,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,8,8,54,1,18,A2_B2,5.375,Noun,1,10.21,1.75,5.65,2.09,8,,,
,,,,,1,,,,,,A1_B1,ventilation,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,9,9,188,1,59,A1_B1,1.65,Noun,1,10.39,3.48,6.44,2.045,11,,,
,,,,k,0,,,,,,A2_B1,temptress,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,1.2163,,,,0,10,10,122,1,39,A2_B2,5.086956522,Noun,0.91,12.2,3.08,4.68,1.38,9,,,
,,,,,1,,,,,,A2_B1,attendance,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,11,11,238,1,1,A2_B1,5.090909091,Noun,1,7.11,3.07,5.95,2.134,10,,,
,,,,,0,,,,,,A2_B2,greet,k,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,12,12,47,1,16,A1_B2,6.045454545,Verb,1,6.47,2.96,6.25,2.43,5,,,
,,,,,1,,,,,,A2_B1,royalty,,R_1PXd33cQrpQ0L8L,MainVerb,2022-06-13_22h18.41.444,SCT_verb,2021.2.3,MacIntel,60.0024001,,,,,0,13,13,250,1,4,A1_B1,5.136363636,Noun,1,8,3.11,5.52,2.303,7,,,
