intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,21.6008,space,17.1952,,1,0,0,0,2,1,A2_B1,heartbreak,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,1,1,7,1,A2_B2,convince,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.6931,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,2,2,4,1,A1_B1,jungle,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,3,3,3,1,A2_B2,adopt,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,1.2824,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,4,4,6,1,A2_B1,drama,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,5,5,0,1,A1_B1,obstacle,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,6,6,1,1,A1_B2,reduce,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.6492,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,7,7,5,1,A1_B2,solve,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.7004,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A2_B2,dominate,k,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,0.7351,space,16.7976,,0,0,0,131,1,41,A1_B1,5.826086957,Verb,1,8.89,2.12,4.4,1.982,8,,,
,,,,,1,,,,,,A2_B1,hometown,,R_1gtNKrdQkehsLYV,MainVerb,2022-06-13_13h24.29.571,SCT_verb,2021.2.3,Win32,59.9880024,,,,,0,1,1,254,1,5,A2_B1,5.958333333,Noun,0.99,7.22,3.33,6.8,2.301,8,,,
