intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,4.6294,space,42.2007,,1,0,0,0,4,1,A1_B1,jungle,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,1,1,2,1,A2_B1,heartbreak,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,3,1,A2_B2,adopt,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,1.0411,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,3,3,5,1,A1_B2,solve,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.8308,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,7,1,A2_B2,convince,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.9481,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,5,5,1,1,A1_B2,reduce,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.7329,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,6,6,6,1,A2_B1,drama,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,7,7,0,1,A1_B1,obstacle,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,A2_B1,nobility,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,space,20.8957,,0,0,0,142,1,44,A2_B1,5.708333333,Noun,1,11.39,2.81,5.83,1.929,8,,,
,,,,,1,,,,,,A1_B1,wrapper,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,1,1,228,1,70,A2_B1,2.045454545,Noun,1,6.11,4.39,4.79,1.935,7,,,
,,,,k,1,,,,,,A1_B2,replenish,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.8357,,,,0,2,2,125,1,40,A1_B2,2.166666667,Verb,1,9.33,2.18,6.9,1.431,9,,,
,,,,,1,,,,,,A2_B1,congress,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,3,3,106,1,34,A1_B2,5.571428571,Noun,1,9.05,3.9,3.55,2.623,8,,,
,,,,k,1,,,,,,A1_B2,hover,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.6858,,,,0,4,4,249,1,4,A1_B1,2.75,Verb,1,8.58,3.17,5.5,1.778,5,,,
,,,,k,1,,,,,,A2_B2,pacify,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.6666,,,,0,5,5,163,1,50,A1_B2,5.476190476,Verb,1,10.37,2.04,5.67,1.322,6,,,
,,,,,1,,,,,,A1_B1,trajectory,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,6,6,120,1,39,A2_B2,2,Noun,1,11.94,3.1,4.89,1.978,10,,,
,,,,,1,,,,,,A1_B1,array,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,7,7,40,1,14,A1_B2,2.363636364,Noun,1,10.79,2.54,5.9,2.037,5,,,
,,,,,1,,,,,,A2_B1,rebellion,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,8,8,130,1,41,A1_B1,6,Noun,1,10,2.93,4.79,2.117,9,,,
,,,,,1,,,,,,A1_B1,outage,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,9,9,204,1,63,A2_B2,2.95,Noun,1,9.06,2.83,3.86,1.342,6,,,
,,,,k,1,,,,,,A1_B2,enter,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.8626,,,,0,10,10,265,1,8,A1_B2,2.739130435,Verb,1,5.67,3.12,6.09,3.181,5,,,
,,,,,1,,,,,,A1_B1,genie,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,11,11,44,1,16,A1_B2,2.545454545,Noun,0.99,6.67,3.25,6.1,2.253,5,,,
,,,,,1,,,,,,A1_B1,physics,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,12,12,140,1,44,A2_B1,1.913043478,Noun,1,11.68,3.07,5.53,2.684,7,,,
,,,,,1,,,,,,A1_B1,delusion,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,13,13,184,1,58,A1_B2,2.695652174,Noun,1,9.95,2.3,3.3,2.143,8,,,
,,,,k,1,,,,,,A1_B2,deduct,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.8151,,,,0,14,14,33,1,10,A2_B2,2.304347826,Verb,1,10.84,2.31,4.24,1.748,6,,,
,,,,,1,,,,,,A1_B1,category,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,15,15,68,1,22,A2_B2,2.952380952,Noun,1,8.15,2.82,5.05,2.318,8,,,
,,,,k,1,,,,,,A1_B2,restore,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.769,,,,0,16,16,89,1,28,A2_B2,2.583333333,Verb,1,10.78,2.79,5.86,2.405,7,,,
,,,,k,0,,,,,,A2_B1,critique,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.7903,,,,0,17,17,242,1,2,A2_B2,5.304347826,Noun,1,11.83,2.55,4.8,1.415,8,,,
,,,,,1,,,,,,A1_B1,finale,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,18,18,248,1,4,A1_B1,2.875,Noun,1,7.74,2.76,5.26,2.1,6,,,
,,,,k,1,,,,,,A2_B2,engage,k,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,0.8475,,,,0,19,19,43,1,14,A1_B2,5.1,Verb,1,10.42,2.07,6.6,2.498,6,,,
,,,,,1,,,,,,A2_B1,dynasty,,R_20NndKuy24lEi5t,MainVerb,2022-06-13_16h02.54.243,SCT_verb,2021.2.3,Win32,144.0092166,,,,,0,20,20,258,1,6,A1_B1,5.571428571,Noun,1,10.5,2.46,5.16,2.117,7,,,
