intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,4.6784,space,26.0286,,1,0,0,0,2,1,A2_B1,heartbreak,,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,1,1,4,1,A1_B1,jungle,,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,5,1,A1_B2,solve,k,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,0.6833,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,3,3,6,1,A2_B1,drama,,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,3,1,A2_B2,adopt,k,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,0.6346,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,5,5,0,1,A1_B1,obstacle,,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,6,6,7,1,A2_B2,convince,k,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,0.5833,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,7,7,1,1,A1_B2,reduce,k,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,0.576,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A2_B2,attract,k,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,0.5616,space,9.4112,,0,0,0,147,1,45,A2_B2,5.181818182,Verb,1,8.78,2.73,6.38,2.464,7,,,
,,,,,1,,,,,,A2_B1,labor,,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,,,,,0,1,1,26,1,8,A2_B1,5.523809524,Noun,0.97,8.28,3.08,4.74,2.794,5,,,
,,,,,1,,,,,,A2_B1,humanity,,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,,,,,0,2,2,146,1,45,A2_B2,6.19047619,Noun,1,9.28,2.36,6.78,2.696,8,,,
,,,,k,1,,,,,,A1_B2,reconstruct,k,R_33m2UKUCq8KGCdn,MainVerb,2022-06-14_12h32.18.167,SCT_verb,2021.2.3,Win32,59.97361161,0.7822,,,,0,3,3,65,1,21,A2_B1,2.681818182,Verb,1,10.63,3.2,5.7,1.771,11,,,
