intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,3.9417,space,19.6766,,1,0,0,0,0,1,A1_B1,obstacle,,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,1,1,6,1,A2_B1,drama,,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,7,1,A2_B2,convince,k,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,0.4925,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,3,3,5,1,A1_B2,solve,k,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,0.473,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,3,1,A2_B2,adopt,k,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,0.5339,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,5,5,2,1,A2_B1,heartbreak,,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,6,6,1,1,A1_B2,reduce,k,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,0.5597,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,7,7,4,1,A1_B1,jungle,,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A1_B2,soften,k,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,0.6409,space,5.3264,,0,0,0,221,1,68,A2_B2,2.583333333,Verb,1,7.37,2.57,6.57,1.887,6,,,
,,,,k,1,,,,,,A1_B2,generate,k,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,0.6792,,,,0,1,1,73,1,23,A1_B1,2.636363636,Verb,1,10.78,2.23,6.14,2.097,8,,,
,,,,k,1,,,,,,A1_B2,replace,k,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,0.694,,,,0,2,2,93,1,30,A2_B2,2.541666667,Verb,1,7.2,3,5.56,2.834,7,,,
,,,,,1,,,,,,A1_B1,compound,,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,,,,,0,3,3,152,1,47,A2_B1,2.65,Noun,0.91,11.26,3.03,5.62,2.559,8,,,
,,,,k,0,,,,,,A1_B1,reference,,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,1.9073,,,,0,4,4,180,1,57,A2_B1,2.761904762,Noun,0.95,8.67,2.38,5.63,2.636,9,,,
,,,,k,0,,,,,,A1_B1,standstill,,R_3PaWHUr0MxhkRFt,MainVerb,2022-06-13_18h41.15.697,SCT_verb,2021.2.3,Win32,144.0507058,2.3037,,,,0,5,5,212,1,66,A1_B1,2.863636364,Noun,1,10,2.39,4.74,1.431,10,,,
