intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,8.154,space,26.21,,1,0,0,0,4,1,A1_B1,jungle,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,1,1,2,1,A2_B1,heartbreak,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,2,2,0,1,A1_B1,obstacle,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,3,3,5,1,A1_B2,solve,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,0.88,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,7,1,A2_B2,convince,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,1.168,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,5,5,3,1,A2_B2,adopt,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,1.247,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,6,6,1,1,A1_B2,reduce,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,0.93,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,7,7,6,1,A2_B1,drama,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A2_B2,govern,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,1.084,space,10.539,,0,0,0,259,1,6,A1_B1,6.260869565,Verb,1,9.53,2.21,4.52,1.799,6,,,
,,,,k,1,,,,,,A1_B2,hover,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,1.184,,,,0,1,1,249,1,4,A1_B1,2.75,Verb,1,8.58,3.17,5.5,1.778,5,,,
,,,,k,1,,,,,,A2_B2,persuade,k,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,0.829,,,,0,2,2,167,1,52,A1_B1,5.173913043,Verb,1,10.79,2.07,5.67,2.514,8,,,
,,,,,1,,,,,,A1_B1,agility,,R_3Pts50E1NYtCe4D,MainVerb,2022-06-13_18h26.28.403,SCT_verb,2021.2.3,Win32,59.95203837,,,,,0,3,3,48,1,17,A2_B1,2.869565217,Noun,1,10.06,2.38,6.55,1.38,7,,,
