intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,22.6554,space,29.4987,,1,0,0,0,0,1,A1_B1,obstacle,,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,1,1,6,1,A2_B1,drama,,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,5,1,A1_B2,solve,k,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,2.5006,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,3,3,4,1,A1_B1,jungle,,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,4,4,1,1,A1_B2,reduce,k,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,5,5,3,1,A2_B2,adopt,k,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,0.899,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,6,6,2,1,A2_B1,heartbreak,,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,7,7,7,1,A2_B2,convince,k,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,0.803,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A1_B2,unhook,k,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,0.969099999,space,15.2723,,0,0,0,225,1,69,A1_B2,2.136363636,Verb,1,7.22,3.34,4.55,1.653,6,,,
,,,,,1,,,,,,A1_B1,foresight,,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,1,1,72,1,23,A1_B1,2.65,Noun,1,10.78,1.79,5.79,1.591,9,,,
,,,,,1,,,,,,A1_B1,delusion,,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,2,2,184,1,58,A1_B2,2.695652174,Noun,1,9.95,2.3,3.3,2.143,8,,,
,,,,k,1,,,,,,A2_B2,bicker,k,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,1.399200001,,,,0,3,3,151,1,46,A2_B2,5.545454545,Verb,1,8.94,3.15,2.81,1.415,6,,,
,,,,,1,,,,,,A1_B1,figment,,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,4,4,256,1,6,A1_B1,2.333333333,Noun,1,9.63,2.04,5,1.748,7,,,
,,,,,1,,,,,,A2_B1,excursion,,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,5,5,6,1,2,A2_B1,5.260869565,Noun,1,10.11,2.93,5.83,1.544,9,,,
,,,,k,1,,,,,,A2_B2,attract,k,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,2.1046,,,,0,6,6,147,1,45,A2_B2,5.181818182,Verb,1,8.78,2.73,6.38,2.464,7,,,
,,,,k,1,,,,,,A1_B2,unload,k,R_3fDEEtV3UAkMQ9T,MainVerb,2022-06-13_22h16.20.747,SCT_verb,2021.2.3,Win32,60.0240096,1.1172,,,,0,7,7,25,1,8,A2_B1,2.454545455,Verb,1,7.86,3.21,5.21,2.373,6,,,
