intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,5.1892,space,19.1832,,1,0,0,0,0,1,A1_B1,obstacle,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,1,1,1,1,A1_B2,reduce,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,1.1012,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,3,1,A2_B2,adopt,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.8164,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,3,3,4,1,A1_B1,jungle,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,7,1,A2_B2,convince,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.8668,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,5,5,2,1,A2_B1,heartbreak,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,6,6,5,1,A1_B2,solve,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.8332,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,7,7,6,1,A2_B1,drama,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A1_B2,expire,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.746,space,16.6581,,0,0,0,205,1,63,A2_B2,2,Verb,1,7.68,2.73,3.16,1.672,6,,,
,,,,k,1,,,,,,A1_B2,unload,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.7821,,,,0,1,1,25,1,8,A2_B1,2.454545455,Verb,1,7.86,3.21,5.21,2.373,6,,,
,,,,,0,,,,,,A2_B2,commandeer,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,2,2,79,1,24,A1_B1,5.55,Verb,1,11.88,3.7,4.43,1.462,10,,,
,,,,,1,,,,,,A2_B1,management,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,3,3,98,1,32,A2_B1,6.181818182,Noun,1,10.05,2.72,4.95,2.775,10,,,
,,,,k,1,,,,,,A1_B2,retain,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.7504,,,,0,4,4,41,1,14,A1_B2,2.608695652,Verb,1,11.32,2.32,6.25,2.086,6,,,
,,,,k,1,,,,,,A2_B2,taunt,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,2.8844,,,,0,5,5,207,1,63,A2_B2,5.526315789,Verb,0.88,8.06,2.93,3.4,1.518,5,,,
,,,,,1,,,,,,A2_B1,fidelity,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,6,6,18,1,6,A2_B2,5.75,Noun,1,12.82,1.87,6.7,2.009,8,,,
,,,,k,1,,,,,,A1_B2,renew,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.8989,,,,0,7,7,161,1,50,A1_B2,2.958333333,Verb,1,10.06,2.07,6,2.049,5,,,
,,,,k,1,,,,,,A1_B2,reconstruct,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.7748,,,,0,8,8,65,1,21,A2_B1,2.681818182,Verb,1,10.63,3.2,5.7,1.771,11,,,
,,,,,1,,,,,,A2_B1,job,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,9,9,202,1,62,A1_B1,5.695652174,Noun,1,5.39,3.19,5.64,4.324,3,,,
,,,,k,1,,,,,,A1_B2,postpone,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,1.1495,,,,0,10,10,13,1,5,A2_B1,2.916666667,Verb,1,10.42,2.29,4.32,2.301,8,,,
,,,,,1,,,,,,A2_B1,hierarchy,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,11,11,110,1,35,A1_B2,6.208333333,Noun,1,11.11,2.59,4.95,1.518,9,,,
,,,,k,1,,,,,,A2_B2,propose,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.7505,,,,0,12,12,219,1,67,A2_B1,5.541666667,Verb,1,9,2.19,6.26,2.822,7,,,
,,,,,1,,,,,,A1_B1,dioxide,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,13,13,12,1,5,A2_B1,1.363636364,Noun,1,11.4,2.81,4.58,1.724,7,,,
,,,,,1,,,,,,A1_B1,finale,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,14,14,248,1,4,A1_B1,2.875,Noun,1,7.74,2.76,5.26,2.1,6,,,
,,,,,1,,,,,,A1_B1,alignment,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,15,15,64,1,21,A2_B1,2.826086957,Noun,1,11.76,3.26,6,1.833,9,,,
,,,,,1,,,,,,A2_B1,manhood,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,16,16,178,1,55,A2_B1,5.25,Noun,1,12.95,2.59,6.5,2.167,7,,,
,,,,,1,,,,,,A2_B1,talker,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,17,17,230,1,70,A2_B1,6.05,Noun,1,5.74,4.39,4.55,1.964,6,,,
,,,,,1,,,,,,A2_B1,royalty,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,18,18,250,1,4,A1_B1,5.136363636,Noun,1,8,3.11,5.52,2.303,7,,,
,,,,,1,,,,,,A2_B1,artistry,,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,,,,,0,19,19,50,1,17,A2_B1,5.181818182,Noun,1,10.58,2,6.91,1.398,8,,,
,,,,k,1,,,,,,A1_B2,reflect,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.5817,,,,0,20,20,61,1,20,A2_B1,2.909090909,Verb,1,9.89,2.81,6.1,2.33,7,,,
,,,,k,1,,,,,,A1_B2,straighten,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.8569,,,,0,21,21,37,1,12,A1_B2,2,Verb,1,7.63,3.72,6.26,2.757,10,,,
,,,,k,1,,,,,,A2_B2,reconcile,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.7991,,,,0,22,22,51,1,17,A2_B1,5.55,Verb,1,10.47,1.79,6.84,1.771,9,,,
,,,,k,1,,,,,,A2_B2,advise,k,R_3fdU0V1SzZ68yAa,MainVerb,2022-06-13_17h30.55.494,SCT_verb,2021.2.3,Win32,60.09976561,0.9969,,,,0,23,23,171,1,53,A1_B1,5.590909091,Verb,1,8.89,2.03,5.44,2.795,6,,,
