intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,2.7308,space,18.1078,,1,0,0,0,6,1,A2_B1,drama,,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,1,1,2,1,A2_B1,heartbreak,,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,2,2,0,1,A1_B1,obstacle,,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,3,3,4,1,A1_B1,jungle,,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,5,1,A1_B2,solve,k,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,0.5928,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,5,5,3,1,A2_B2,adopt,k,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,0.5929,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,6,6,1,1,A1_B2,reduce,k,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,0.568,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,7,7,7,1,A2_B2,convince,k,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,0.623,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,A1_B1,migraine,,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,,space,3.7674,,0,0,0,112,1,36,A1_B2,2.956521739,Noun,0.93,10,3.2,2.68,1.982,8,,,
,,,,k,1,,,,,,A1_B2,accelerate,k,R_3hxYFawCjWlmYaL,MainVerb,2022-06-14_10h27.47.897,SCT_verb,2021.2.3,Win32,60.30635629,0.4655,,,,0,1,1,189,1,59,A1_B1,2.25,Verb,1,10.74,3.48,6.1,1.819,10,,,
