intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,4.478,space,27.672,,1,0,0,0,2,1,A2_B1,heartbreak,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0,1,1,4,1,A1_B1,jungle,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,1.154,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,3,1,A2_B2,adopt,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,1.108,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,3,3,5,1,A1_B2,solve,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.708,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,7,1,A2_B2,convince,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.977,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,5,5,6,1,A2_B1,drama,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,6,6,0,1,A1_B1,obstacle,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,7,7,1,1,A1_B2,reduce,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.949,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A2_B2,infiltrate,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.97,space,10.071,,0,0,0,123,1,39,A2_B2,5,Verb,1,12,2.71,4.41,1.935,10,,,
,,,,,1,,,,,,A2_B1,feedback,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,1,1,62,1,20,A2_B1,5.545454545,Noun,1,10.7,2.48,5.91,2.149,8,,,
,,,,,1,,,,,,A2_B1,patriot,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,2,2,82,1,26,A1_B2,5.695652174,Noun,0.97,10.14,3.36,5.8,2.127,7,,,
,,,,k,1,,,,,,A2_B2,liberate,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.849,,,,0,3,3,75,1,23,A1_B1,5.217391304,Verb,1,11.75,2.29,5.79,1.778,8,,,
,,,,,1,,,,,,A1_B1,percentage,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,4,4,96,1,32,A2_B1,1.714285714,Noun,1,10.26,2.9,4.81,2.286,10,,,
,,,,k,1,,,,,,A1_B2,generate,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.797,,,,0,5,5,73,1,23,A1_B1,2.636363636,Verb,1,10.78,2.23,6.14,2.097,8,,,
,,,,,1,,,,,,A1_B1,dioxide,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,6,6,12,1,5,A2_B1,1.363636364,Noun,1,11.4,2.81,4.58,1.724,7,,,
,,,,,1,,,,,,A1_B1,outage,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,7,7,204,1,63,A2_B2,2.95,Noun,1,9.06,2.83,3.86,1.342,6,,,
,,,,,1,,,,,,A2_B1,management,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,8,8,98,1,32,A2_B1,6.181818182,Noun,1,10.05,2.72,4.95,2.775,10,,,
,,,,k,1,,,,,,A1_B2,untie,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.804,,,,0,9,9,229,1,70,A2_B1,2.476190476,Verb,1,4.84,3.89,4.95,2.423,5,,,
,,,,k,1,,,,,,A1_B2,enhance,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.988,,,,0,10,10,193,1,60,A2_B1,2.523809524,Verb,1,9.95,2.21,6.62,2.1,7,,,
,,,,k,1,,,,,,A2_B2,seduce,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.711,,,,0,11,11,179,1,55,A2_B1,5.727272727,Verb,0.97,11.95,2.18,6.74,2.248,6,,,
,,,,k,1,,,,,,A2_B2,confide,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.898,,,,0,12,12,263,1,7,A1_B1,5.2,Verb,1,11.22,1.81,6.21,1.991,7,,,
,,,,k,1,,,,,,A1_B2,cleanse,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.902,,,,0,13,13,253,1,5,A2_B1,2.75,Verb,1,8.11,3.31,6.65,1.875,7,,,
,,,,,1,,,,,,A2_B1,humility,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,14,14,54,1,18,A2_B2,5.375,Noun,1,10.21,1.75,5.65,2.09,8,,,
,,,,k,1,,,,,,A2_B2,dignify,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,1.081,,,,0,15,15,199,1,61,A1_B2,5.173913043,Verb,1,10.47,1.71,5.68,1.491,7,,,
,,,,k,1,,,,,,A2_B2,govern,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,1.678,,,,0,16,16,259,1,6,A1_B1,6.260869565,Verb,1,9.53,2.21,4.52,1.799,6,,,
,,,,,1,,,,,,A2_B1,nobility,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,17,17,142,1,44,A2_B1,5.708333333,Noun,1,11.39,2.81,5.83,1.929,8,,,
,,,,,1,,,,,,A2_B1,career,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,18,18,170,1,53,A1_B1,5.24,Noun,0.99,9.95,2.54,6.11,3.363,6,,,
,,,,,1,,,,,,A1_B1,foresight,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,19,19,72,1,23,A1_B1,2.65,Noun,1,10.78,1.79,5.79,1.591,9,,,
,,,,,1,,,,,,A2_B1,persuasion,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,20,20,166,1,52,A1_B1,5.083333333,Noun,1,10.9,1.9,5.67,2.004,10,,,
,,,,k,1,,,,,,A1_B2,decompose,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.885,,,,0,21,21,113,1,36,A1_B2,1.826086957,Verb,1,10.48,3,2.42,1.398,9,,,
,,,,,1,,,,,,A1_B1,reference,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,22,22,180,1,57,A2_B1,2.761904762,Noun,0.95,8.67,2.38,5.63,2.636,9,,,
,,,,,1,,,,,,A2_B1,esteem,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,23,23,42,1,14,A1_B2,5.217391304,Noun,1,10.55,1.83,6.38,1.94,6,,,
,,,,,1,,,,,,A2_B1,environment,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,24,24,190,1,59,A1_B1,5.347826087,Noun,1,9.85,3.74,6.7,2.815,11,,,
,,,,k,1,,,,,,A2_B2,attend,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,1.015,,,,0,25,25,31,1,9,A1_B1,5.76,Verb,1,7.72,3.17,5.4,2.855,6,,,
,,,,k,1,,,,,,A2_B2,impress,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.882,,,,0,26,26,63,1,20,A2_B1,5.333333333,Verb,1,10.17,2.07,6.25,2.717,7,,,
,,,,k,1,,,,,,A1_B2,obstruct,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,1.203,,,,0,27,27,185,1,58,A1_B2,2.45,Verb,1,10.94,2.46,3.61,1.491,8,,,
,,,,,1,,,,,,A1_B1,agility,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,28,28,48,1,17,A2_B1,2.869565217,Noun,1,10.06,2.38,6.55,1.38,7,,,
,,,,,1,,,,,,A1_B1,dimension,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,29,29,52,1,18,A2_B2,2.434782609,Noun,1,10.26,2.5,5.24,2.375,9,,,
,,,,,1,,,,,,A1_B1,fortnight,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,30,30,60,1,20,A2_B1,2.347826087,Noun,1,10.53,2.71,5.5,1.672,9,,,
,,,,k,1,,,,,,A2_B2,conspire,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,1.075,,,,0,31,31,15,1,5,A2_B1,5.5,Verb,0.9,11,2.67,3.9,1.505,8,,,
,,,,k,1,,,,,,A2_B2,reunite,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.789,,,,0,32,32,195,1,60,A2_B1,5.619047619,Verb,1,9.44,2.86,6.86,1.568,7,,,
,,,,k,1,,,,,,A2_B2,terrorize,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.904,,,,0,33,33,115,1,36,A1_B2,5.363636364,Verb,1,9.72,2.84,2.5,1.431,9,,,
,,,,k,1,,,,,,A2_B2,tolerate,k,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,0.845,,,,0,34,34,247,1,3,A2_B1,5.761904762,Verb,1,10.45,1.78,6.19,2.55,8,,,
,,,,,1,,,,,,A1_B1,volumes,,R_3knfkJqA9zLTDJ0,MainVerb,2022-06-14_12h32.00.693,SCT_verb,2021.2.3,Win32,60.0240096,,,,,0,35,35,144,1,45,A2_B2,2,Noun,1,9.58,3.03,6,1.74,7,,,
