intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,5.3835,space,20.9381,,0,0,0,0,7,1,A2_B2,convince,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,1,1,5,1,A1_B2,solve,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,0.9937,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,1,1,A1_B2,reduce,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,0.626,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,3,3,3,1,A2_B2,adopt,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,0.726,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,4,4,4,1,A1_B1,jungle,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0,5,5,2,1,A2_B1,heartbreak,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,1.2773,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,6,6,0,1,A1_B1,obstacle,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,7,7,6,1,A2_B1,drama,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,A1_B2,straighten,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,space,9.7042,,0,0,0,37,1,12,A1_B2,2,Verb,1,7.63,3.72,6.26,2.757,10,,,
,,,,k,1,,,,,,A2_B2,supervise,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,0.9881,,,,0,1,1,99,1,32,A2_B1,5.318181818,Verb,1,11,2.48,5.05,1.996,9,,,
,,,,,1,,,,,,A2_B1,dialect,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,2,2,154,1,47,A2_B1,5.523809524,Noun,1,11.5,2.67,6,1.839,7,,,
,,,,k,1,,,,,,A1_B2,postpone,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,1.8797,,,,0,3,3,13,1,5,A2_B1,2.916666667,Verb,1,10.42,2.29,4.32,2.301,8,,,
,,,,,1,,,,,,A2_B1,morale,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,4,4,162,1,50,A1_B2,5.608695652,Noun,1,10.62,1.85,5.95,2.324,6,,,
,,,,,0,,,,,,A2_B2,pacify,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,5,5,163,1,50,A1_B2,5.476190476,Verb,1,10.37,2.04,5.67,1.322,6,,,
,,,,,1,,,,,,A2_B1,solitude,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,6,6,158,1,49,A2_B2,5,Noun,0.97,12,2.07,4.76,2.013,8,,,
,,,,k,1,,,,,,A1_B2,calculate,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,0.7469,,,,0,7,7,97,1,32,A2_B1,2.368421053,Verb,1,9.26,2.74,4.89,2.029,9,,,
,,,,,1,,,,,,A2_B1,exhibition,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,8,8,66,1,21,A2_B1,5.272727273,Noun,1,11.25,3.52,5.53,2.318,10,,,
,,,,,1,,,,,,A2_B1,seminar,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,9,9,90,1,28,A2_B2,5.368421053,Noun,1,11.8,3.48,5.2,2.338,7,,,
,,,,,0,,,,,,A2_B2,entrust,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,10,10,19,1,6,A2_B2,5.782608696,Verb,1,11.89,2.16,6.32,1.58,7,,,
,,,,,1,,,,,,A2_B1,diplomacy,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,11,11,74,1,23,A1_B1,5.772727273,Noun,1,10.89,2.04,5.53,1.914,9,,,
,,,,k,1,,,,,,A2_B2,lend,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,0.6169,,,,0,12,12,27,1,8,A2_B1,5,Verb,1,8.45,3.07,4.95,2.775,4,,,
,,,,,1,,,,,,A2_B1,temptress,,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,,,,,0,13,13,122,1,39,A2_B2,5.086956522,Noun,0.91,12.2,3.08,4.68,1.38,9,,,
,,,,k,1,,,,,,A1_B2,radiate,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,1.119,,,,0,14,14,177,1,55,A2_B1,2.619047619,Verb,0.89,12.5,2.93,6.9,1.447,7,,,
,,,,k,1,,,,,,A1_B2,tremble,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,1.1505,,,,0,15,15,105,1,34,A1_B2,2.227272727,Verb,1,8.89,3.61,3.18,2.061,7,,,
,,,,k,1,,,,,,A2_B2,persuade,k,R_RQwCSwgVb4rNANH,MainVerb,2022-06-13_20h34.24.304,SCT_verb,2021.2.3,Win32,58.31243804,0.9188,,,,0,16,16,167,1,52,A1_B1,5.173913043,Verb,1,10.79,2.07,5.67,2.514,8,,,
