intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,5.1484,space,26.0962,k,1,2.6236,0,0,0,7,1,A2_B2,convince,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,1,1,4,1,A1_B1,jungle,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.3347,0,2,2,1,1,A1_B2,reduce,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.9193,0,3,3,5,1,A1_B2,solve,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,4,4,2,1,A2_B1,heartbreak,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.9686,0,5,5,3,1,A2_B2,adopt,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,6,6,6,1,A2_B1,drama,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,7,7,0,1,A1_B1,obstacle,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.7504,,,,,,A2_B2,dominate,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,space,11.7658,,0,0,0,131,1,41,A1_B1,5.826086957,Verb,1,8.89,2.12,4.4,1.982,8,,,
,,,,k,1,1.1859,,,,,,A2_B2,advise,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,1,1,171,1,53,A1_B1,5.590909091,Verb,1,8.89,2.03,5.44,2.795,6,,,
,,,,,0,,,,,,,A2_B2,wrestle,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,2,2,231,1,70,A2_B1,5.04,Verb,0.91,5,4.33,4.53,2.248,7,,,
,,,,k,1,0.6505,,,,,,A2_B2,donate,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,3,3,223,1,68,A2_B2,5.181818182,Verb,1,8.2,2.88,6.7,2.31,6,,,
,,,,,1,,,,,,,A2_B1,privilege,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,4,4,182,1,57,A2_B1,5.12,Noun,1,9.24,1.93,5.81,2.735,9,,,
,,,,,1,,,,,,,A1_B1,simplicity,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,5,5,124,1,40,A1_B2,2.772727273,Noun,1,9.89,1.96,7.05,1.845,10,,,
,,,,k,0,1.2842,,,,,,A1_B1,shallows,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,6,6,108,1,35,A1_B2,2.347826087,Noun,1,11.39,3.33,5.37,1.322,8,,,
,,,,k,1,0.6837,,,,,,A1_B2,confine,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,7,7,149,1,46,A2_B2,2.826086957,Verb,1,9.71,3.07,3,1.708,7,,,
,,,,,1,,,,,,,A1_B1,carpentry,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,8,8,8,1,4,A1_B2,2.857142857,Noun,1,9.83,3.48,4.87,1.38,9,,,
,,,,,1,,,,,,,A2_B1,morale,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,9,9,162,1,50,A1_B2,5.608695652,Noun,1,10.62,1.85,5.95,2.324,6,,,
,,,,,1,,,,,,,A1_B1,summary,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,10,10,224,1,69,A1_B2,2.523809524,Noun,1,8,3.03,5.05,1.935,7,,,
,,,,k,1,1.0004,,,,,,A1_B2,minimize,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,11,11,53,1,18,A2_B2,2.625,Verb,1,10.89,2.37,5.16,1.74,8,,,
,,,,k,1,0.9342,,,,,,A2_B2,consult,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,12,12,91,1,28,A2_B2,6.318181818,Verb,1,10.95,3.04,5.41,2.456,7,,,
,,,,,1,,,,,,,A2_B1,community,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,13,13,38,1,12,A1_B2,6.458333333,Noun,1,7.28,3.52,6.09,3.172,9,,,
,,,,,1,,,,,,,A2_B1,guidance,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,14,14,218,1,67,A2_B1,5.136363636,Noun,1,8.95,2.46,5.95,2.576,8,,,
,,,,k,0,1.5364,,,,,,A1_B1,vantage,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,15,15,260,1,7,A1_B1,2.65,Noun,1,12.1,1.93,5.95,1.602,7,,,
,,,,k,0,0.7837,,,,,,A2_B1,presenter,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,16,16,134,1,42,A1_B1,5.238095238,Noun,1,8.9,3.96,5.71,1.322,9,,,
,,,,,1,,,,,,,A2_B1,rebellion,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,17,17,130,1,41,A1_B1,6,Noun,1,10,2.93,4.79,2.117,9,,,
,,,,,0,,,,,,,A1_B2,unhook,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,18,18,225,1,69,A1_B2,2.136363636,Verb,1,7.22,3.34,4.55,1.653,6,,,
,,,,k,1,0.7655,,,,,,A1_B2,sterilize,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,19,19,141,1,44,A2_B1,2.954545455,Verb,1,11.68,2.97,5.59,1.398,9,,,
,,,,k,1,1.0695,,,,,,A1_B2,decipher,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,20,20,109,1,35,A1_B2,2.947368421,Verb,1,10.84,2.83,5.09,1.944,8,,,
,,,,,0,,,,,,,A1_B2,discontinue,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,21,21,121,1,39,A2_B2,2.227272727,Verb,1,11.63,2.5,3.94,1.544,11,,,
,,,,k,1,0.717,,,,,,A1_B2,maximize,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,22,22,245,1,3,A2_B1,2.916666667,Verb,1,10.58,1.79,6.2,1.663,8,,,
,,,,k,1,1.4501,,,,,,A1_B2,accelerate,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,23,23,189,1,59,A1_B1,2.25,Verb,1,10.74,3.48,6.1,1.819,10,,,
,,,,,0,,,,,,,A2_B2,mingle,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,24,24,83,1,26,A1_B2,5.391304348,Verb,1,10.29,3.17,5.21,2.14,6,,,
,,,,k,1,0.7679,,,,,,A1_B2,classify,k,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,25,25,69,1,22,A2_B2,2.8,Verb,1,9.65,2.41,5.6,1.518,8,,,
,,,,,1,,,,,,,A2_B1,dynasty,,R_VUoLnXCpagrKhwZ,MainVerb,2022-06-13_13h32.14.005,SCT_verb,2021.2.3,Win32,60.01680471,,,,0,26,26,258,1,6,A1_B1,5.571428571,Noun,1,10.5,2.46,5.16,2.117,7,,,
