Word,Socialness,Concreteness
abandon,4.782608695652170,2.54
abandonment,4.681818181818180,2.54
abdomen,2.217391304347830,4.7
abdominal,2.2857142857142900,4.28
abduct,5,2.88
abduction,5.285714285714290,3.07
abide,4.904761904761910,1.68
ability,4.782608695652170,1.81
abject,3.5,1.67
ablaze,2.5652173913043500,3.82
able,3.4583333333333300,2.38
abnormal,3.3043478260869600,2.14
abode,3.727272727272730,3.92
abolish,3.652173913043480,2.19
abomination,4.571428571428570,2.23
abort,4.04,2.83
abortion,3.8260869565217400,3.41
abrasive,3.6666666666666700,3.03
abrupt,2.363636363636360,2.27
absence,3.9166666666666700,2.31
absent,3.4347826086956500,2.7
absinthe,2.4761904761904800,4.3
absolve,4.2727272727272700,1.85
absorb,2.1666666666666700,3.11
abstain,3.7,2.38
absurdity,4.090909090909090,1.25
abundance,3.1739130434782600,2.21
abundant,3.2916666666666700,2.83
abuse,4.954545454545450,2.71
abusive,5.208333333333330,2.55
abyss,1.8571428571428600,3.07
accelerant,2.363636363636360,3.4
accelerate,2.25,3.48
accelerated,2.08,3.18
acceleration,2.3043478260869600,2.97
accelerator,1.6956521739130400,4.32
accent,4.428571428571430,3.26
accept,3.608695652173910,3.03
acceptance,5.130434782608700,2.21
access,2.8095238095238100,2.71
accessible,4.130434782608700,1.8
accessory,2.25,4.1
accident,4.125,3.26
acclaim,3.952380952380950,2.04
accommodate,4.782608695652170,1.86
accommodation,4.2272727272727300,2.96
accompany,5.782608695652170,3.07
accomplice,5.476190476190480,3.34
accomplish,4.217391304347830,2.33
accomplishment,4.62152133580705,2.5
accord,4.157894736842110,1.57
accordion,2.0526315789473700,4.86
account,2.875,3.08
accountant,5,4.41
accounting,2.9166666666666700,3.27
accumulate,2.5238095238095200,3
accuracy,3.047619047619050,1.85
accurate,3.409090909090910,1.9
accursed,3.238095238095240,1.93
accuse,4.916666666666670,2.25
ache,2.9047619047619000,3.43
achieve,3.8,2.29
achy,2,2.96
acknowledge,4.545454545454550,2.03
acknowledgement,4.739130434782610,2.62
acorn,1.6,4.96
acoustic,2.409090909090910,3.28
