intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,5.1368,space,0.0421,,0,0,0,0,4,1,A1_B1,jungle,k,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,1,1,6,1,A2_B1,drama,k,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,1.0827,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0,2,2,3,1,A2_B2,adopt,,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,0.8586,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,3,3,2,1,A2_B1,heartbreak,k,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,1.4805,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,0,1,A1_B1,obstacle,k,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,1.4171,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0,5,5,1,1,A1_B2,reduce,,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,1.5325,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0,6,6,5,1,A1_B2,solve,,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,0.9232,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0,7,7,7,1,A2_B2,convince,,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,0.7738,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A1_B1,variation,k,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,1.0534,space,25.827,,0,0,0,20,1,7,A2_B1,2.090909091,Noun,1,10.11,2.46,5.53,1.813,9,,,
,,,,k,1,,,,,,A2_B1,teamwork,k,R_1HqosZWXe21FzAN,MainNoun,2022-09-20_18h14.03.446,SCT,2021.2.3,Win32,144.0507058,0.8525,,,,0,1,1,210,1,65,A2_B1,6.72,Noun,1,7.8,2.37,6.26,2.013,8,,,
