intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,12.0211,space,98.6986,k,1,1.3612,0,0,0,4,1,A1_B1,jungle,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,1.3359,0,1,1,7,1,A2_B2,convince,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,2.5719,0,2,2,6,1,A2_B1,drama,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.9844,0,3,3,2,1,A2_B1,heartbreak,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,4,4,3,1,A2_B2,adopt,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,5,5,1,1,A1_B2,reduce,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.4569,0,6,6,0,1,A1_B1,obstacle,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,7,7,5,1,A1_B2,solve,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,A1_B2,enhance,,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,space,54.4362,,0,0,0,193,1,60,A2_B1,2.523809524,Verb,1,9.95,2.21,6.62,2.1,7,,,
,,,,,0,,,,,,,A2_B1,exhibition,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,1,1,66,1,21,A2_B1,5.272727273,Noun,1,11.25,3.52,5.53,2.318,10,,,
,,,,k,1,1.4331,,,,,,A1_B1,potency,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,2,2,16,1,6,A2_B2,2.565217391,Noun,1,12.89,2.32,5.84,1.398,7,,,
,,,,k,1,1.6601,,,,,,A1_B1,countdown,k,R_1K7sOm58nALhhbB,MainNoun,2022-09-20_18h16.36.650,SCT,2021.2.3,Win32,54.94807407,,,,0,3,3,236,1,1,A2_B1,2.956521739,Noun,0.99,6.26,3.3,5.64,2.258,9,,,
