intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,3.8734,space,101.6284,k,1,1.9826,0,0,0,2,1,A2_B1,heartbreak,k,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,1,1,7,1,A2_B2,convince,,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,2,2,1,1,A1_B2,reduce,,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.838,0,3,3,4,1,A1_B1,jungle,k,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.1999,0,4,4,0,1,A1_B1,obstacle,k,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.7254,0,5,5,6,1,A2_B1,drama,k,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,6,6,5,1,A1_B2,solve,,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,7,7,3,1,A2_B2,adopt,,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.8803,,,,,,A2_B1,nobility,k,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,space,7.5867,,0,0,0,142,1,44,A2_B1,5.708333333,Noun,1,11.39,2.81,5.83,1.929,8,,,
,,,,,1,,,,,,,A1_B2,adjust,,R_2CNScUKewjFzkAM,MainNoun,2022-09-20_17h12.07.643,SCT,2021.2.3,MacIntel,59.99880002,,,,0,1,1,137,1,43,A1_B2,2.608695652,Verb,1,8.43,2.93,5.76,2.459,6,,,
