intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,8.327,space,57.304,,1,0,0,0,5,1,A1_B2,solve,,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,1,1,7,1,A2_B2,convince,,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,0,1,A1_B1,obstacle,k,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,1.137,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,3,3,6,1,A2_B1,drama,k,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,0.712,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,4,4,4,1,A1_B1,jungle,k,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,0.702,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,5,5,2,1,A2_B1,heartbreak,k,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,0.823,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,6,6,3,1,A2_B2,adopt,,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,7,7,1,1,A1_B2,reduce,,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,,,,,,A2_B1,aggressor,k,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,0.721,space,12.27,,0,0,0,114,1,36,A1_B2,5.086956522,Noun,1,11.47,3.29,2.8,1.477,9,,,
,,,,,1,,,,,,A1_B2,restore,,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,,,,,0,1,1,89,1,28,A2_B2,2.583333333,Verb,1,10.78,2.79,5.86,2.405,7,,,
,,,,k,1,,,,,,A2_B1,warfare,k,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,1.046,,,,0,2,2,150,1,46,A2_B2,5.571428571,Noun,1,8.95,3.03,3.14,2.179,7,,,
,,,,k,1,,,,,,A1_B1,figment,k,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,0.798,,,,0,3,3,256,1,6,A1_B1,2.333333333,Noun,1,9.63,2.04,5,1.748,7,,,
,,,,k,0,,,,,,A2_B2,invade,,R_2WBjZozFhKtJAAb,MainNoun,2022-09-21_15h09.17.266,SCT,2021.2.3,Win32,60.0240096,2.013,,,,0,4,4,107,1,34,A1_B2,5.818181818,Verb,1,9.39,3.28,3.32,2.196,6,,,
