intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,6.1753,space,28.2904,,1,0,0,0,5,1,A1_B2,solve,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,1,1,2,1,A2_B1,heartbreak,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.9849,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,6,1,A2_B1,drama,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.7996,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,3,3,1,1,A1_B2,reduce,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,4,4,7,1,A2_B2,convince,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,5,5,3,1,A2_B2,adopt,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,6,6,4,1,A1_B1,jungle,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.7576,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,7,7,0,1,A1_B1,obstacle,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,0.8906,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,A1_B2,make,,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,,space,9.3639,,0,0,0,201,1,62,A1_B1,2.391304348,Verb,1,4.68,2.67,6.09,4.85,4,,,
,,,,k,1,,,,,,A2_B1,behavior,k,R_2eXV7WW1h6JZu74,MainNoun,2022-09-21_11h50.19.871,SCT,2021.2.3,MacIntel,59.95203837,1.6385,,,,0,1,1,86,1,27,A2_B2,5.5,Noun,1,7.05,2.19,5.28,3.058,8,,,
