intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,16.5166,space,27.7844,k,1,1.4587,0,0,0,2,1,A2_B1,heartbreak,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,1,1,3,1,A2_B2,adopt,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,2,2,6,1,A2_B1,drama,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.6118,0,3,3,4,1,A1_B1,jungle,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,4,4,1,1,A1_B2,reduce,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,5,5,5,1,A1_B2,solve,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,6,6,7,1,A2_B2,convince,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.3572,0,7,7,0,1,A1_B1,obstacle,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.7363,,,,,,A2_B1,etiquette,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,space,8.8559,,0,0,0,198,1,61,A1_B2,5.19047619,Noun,1,9.5,2.15,6,1.987,9,,,
,,,,k,1,0.9033,,,,,,A1_B1,standstill,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,1,1,212,1,66,A1_B1,2.863636364,Noun,1,10,2.39,4.74,1.431,10,,,
,,,,,1,,,,,,,A2_B2,taunt,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,2,2,207,1,63,A2_B2,5.526315789,Verb,0.88,8.06,2.93,3.4,1.518,5,,,
,,,,k,1,0.6175,,,,,,A2_B1,dialect,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,3,3,154,1,47,A2_B1,5.523809524,Noun,1,11.5,2.67,6,1.839,7,,,
,,,,,1,,,,,,,A1_B2,conjure,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,4,4,241,1,2,A2_B2,2.578947368,Verb,1,11.37,2.3,5.05,1.813,7,,,
,,,,k,1,0.5428,,,,,,A1_B1,metaphor,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,5,5,244,1,3,A2_B1,2.652173913,Noun,1,11.59,1.94,6.11,2.299,8,,,
,,,,,1,,,,,,,A2_B2,supervise,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,6,6,99,1,32,A2_B1,5.318181818,Verb,1,11,2.48,5.05,1.996,9,,,
,,,,k,1,0.2915,,,,,,A2_B1,savior,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,7,7,46,1,16,A1_B2,5.565217391,Noun,0.88,6.68,3.04,6.59,2.24,6,,,
,,,,k,1,0.6678,,,,,,A1_B1,time,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,8,8,200,1,62,A1_B1,2.88,Noun,0.99,5.16,3.07,5.6,5,4,,,
,,,,,1,,,,,,,A2_B2,coexist,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,9,9,155,1,47,A2_B1,5.347826087,Verb,1,11.56,2.25,5.95,1.415,7,,,
,,,,k,1,0.5287,,,,,,A1_B1,wrapper,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,10,10,228,1,70,A2_B1,2.045454545,Noun,1,6.11,4.39,4.79,1.935,7,,,
,,,,,1,,,,,,,A1_B2,conclude,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,11,11,165,1,52,A1_B1,2.681818182,Verb,1,10.48,1.78,4.81,2.107,8,,,
,,,,k,1,0.5282,,,,,,A1_B1,category,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,12,12,68,1,22,A2_B2,2.952380952,Noun,1,8.15,2.82,5.05,2.318,8,,,
,,,,k,1,1.3984,,,,,,A2_B1,goodwill,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,13,13,58,1,19,A1_B2,5.826086957,Noun,1,8.79,2.54,6.47,2.225,8,,,
,,,,,1,,,,,,,A2_B2,avenge,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,14,14,235,1,71,A1_B1,5.15,Verb,1,10.68,2.07,4.05,2.19,6,,,
,,,,,1,,,,,,,A2_B2,administer,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,15,15,215,1,66,A1_B1,5,Verb,1,9.42,2.53,4.4,1.935,10,,,
,,,,k,1,0.3001,,,,,,A1_B1,countdown,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,16,16,236,1,1,A2_B1,2.956521739,Noun,0.99,6.26,3.3,5.64,2.258,9,,,
,,,,k,1,0.139,,,,,,A2_B1,heroism,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,17,17,194,1,60,A2_B1,6.086956522,Noun,1,9.55,2.67,7.05,1.756,7,,,
,,,,k,1,0.0774,,,,,,A1_B1,ventilation,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,18,18,188,1,59,A1_B1,1.65,Noun,1,10.39,3.48,6.44,2.045,11,,,
,,,,,1,,,,,,,A1_B2,lighten,,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,19,19,145,1,45,A2_B2,2.636363636,Verb,1,7.95,2.93,6.21,2.48,7,,,
,,,,k,1,0.2996,,,,,,A1_B1,solution,k,R_AtzPhJbDIJIZ82J,MainNoun,2022-09-21_15h54.05.999,SCT,2021.2.3,Win32,141.4627246,,,,0,20,20,56,1,19,A1_B2,2.952380952,Noun,1,9,2.61,6.3,2.907,8,,,
