intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,embResp.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,3.9065,space,28.273,,1,0,0,0,5,1,A1_B2,solve,,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,1,1,4,1,A1_B1,jungle,k,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,0.7794,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0,2,2,0,1,A1_B1,obstacle,k,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,0.7886,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,3,3,2,1,A2_B1,heartbreak,k,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,4,4,6,1,A2_B1,drama,k,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,5,5,3,1,A2_B2,adopt,,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,6,6,1,1,A1_B2,reduce,,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0,7,7,7,1,A2_B2,convince,,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,A1_B2,adjust,,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,,space,6.3796,,0,0,0,137,1,43,A1_B2,2.608695652,Verb,1,8.43,2.93,5.76,2.459,6,,,
,,,,k,1,,,,,,A1_B1,fraction,k,R_DMZEHAlDSTy1MmR,MainNoun,2022-09-21_16h15.58.837,SCT,2021.2.3,Win32,59.99880002,1.1402,,,,0,1,1,88,1,28,A2_B2,1.916666667,Noun,1,10.06,3.1,5.21,2.021,8,,,
