intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,5.3369,space,29.6909,k,1,0.9928,0,0,0,0,1,A1_B1,obstacle,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.9019,0,1,1,2,1,A2_B1,heartbreak,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.7784,0,2,2,6,1,A2_B1,drama,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,3,3,3,1,A2_B2,adopt,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.7895,0,4,4,4,1,A1_B1,jungle,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,5,5,1,1,A1_B2,reduce,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,6,6,5,1,A1_B2,solve,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0.9379,0,7,7,7,1,A2_B2,convince,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,1.0058,,,,,,A1_B1,alignment,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,space,14.1912,,0,0,0,64,1,21,A2_B1,2.826086957,Noun,1,11.76,3.26,6,1.833,9,,,
,,,,,1,,,,,,,A2_B2,tell,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,1,1,203,1,62,A1_B1,5.238095238,Verb,1,4.26,2.9,5.27,4.944,4,,,
,,,,k,1,0.9733,,,,,,A1_B1,reference,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,2,2,180,1,57,A2_B1,2.761904762,Noun,0.95,8.67,2.38,5.63,2.636,9,,,
,,,,k,1,1.2723,,,,,,A1_B1,catalyst,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,3,3,240,1,2,A2_B2,2.238095238,Noun,1,12.56,2.85,5.3,1.613,8,,,
,,,,k,1,1.486,,,,,,A2_B1,temptress,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,4,4,122,1,39,A2_B2,5.086956522,Noun,0.91,12.2,3.08,4.68,1.38,9,,,
,,,,k,1,1.0003,,,,,,A2_B1,diversity,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,5,5,246,1,3,A2_B1,5.875,Noun,1,10.79,2.28,6.14,1.756,9,,,
,,,,,1,,,,,,,A1_B2,deduct,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,6,6,33,1,10,A2_B2,2.304347826,Verb,1,10.84,2.31,4.24,1.748,6,,,
,,,,k,1,1.0587,,,,,,A2_B1,etiquette,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,7,7,198,1,61,A1_B2,5.19047619,Noun,1,9.5,2.15,6,1.987,9,,,
,,,,,1,,,,,,,A2_B2,connect,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,8,8,255,1,5,A2_B1,5.708333333,Verb,1,7.58,2.88,6.61,2.693,7,,,
,,,,k,1,1.5174,,,,,,A1_B1,countdown,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,9,9,236,1,1,A2_B1,2.956521739,Noun,0.99,6.26,3.3,5.64,2.258,9,,,
,,,,k,0,1.9287,,,,,,A2_B2,consult,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,10,10,91,1,28,A2_B2,6.318181818,Verb,1,10.95,3.04,5.41,2.456,7,,,
,,,,k,1,0.9843,,,,,,A2_B1,presenter,k,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,11,11,134,1,42,A1_B1,5.238095238,Noun,1,8.9,3.96,5.71,1.322,9,,,
,,,,,1,,,,,,,A2_B2,confide,,R_TdYknjBhg17UqgF,MainNoun,2022-09-21_13h57.52.270,SCT,2021.2.3,Win32,60.06006006,,,,0,12,12,263,1,7,A1_B1,5.2,Verb,1,11.22,1.81,6.21,1.991,7,,,
