intro_resp.keys,intro_resp.rt,EmbInstruct_cont.keys,EmbInstruct_cont.rt,embResp.keys,embResp.corr,embResp.rt,Emb_practice.thisRepN,Emb_practice.thisTrialN,Emb_practice.thisN,Emb_practice.thisIndex,Emb_practice.ran,condition,Word,Cresp,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_2.keys,Embody.thisRepN,Embody.thisTrialN,Embody.thisN,Embody.thisIndex,Embody.ran,item_nr,match_null,Socialness,Dom_PoS_SUBTLEX,Percentage_dom_PoS,AoA_Rating,Concreteness,Valence,LgSUBTLWF,Length,key_resp_2.rt,task_cont.keys,task_cont.rt
space,3.5486,space,47.2117,k,1,0.5528,0,0,0,6,1,A2_B1,drama,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,1,1,5,1,A1_B2,solve,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.4869,0,2,2,4,1,A1_B1,jungle,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.5206,0,3,3,0,1,A1_B1,obstacle,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,,,,,,,,,,,,,,,,,,
,,,,k,0,0.5566,0,4,4,7,1,A2_B2,convince,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,5,5,3,1,A2_B2,adopt,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,6,6,1,1,A1_B2,reduce,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,,,,,,,,,,,,,,,,,,
,,,,k,1,0.5261,0,7,7,2,1,A2_B1,heartbreak,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,A1_B2,replicate,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,space,3.9647,,0,0,0,77,1,24,A1_B1,2.739130435,Verb,1,11.26,3.33,4.95,1.58,9,,,
,,,,k,1,0.6696,,,,,,A2_B1,nobility,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,1,1,142,1,44,A2_B1,5.708333333,Noun,1,11.39,2.81,5.83,1.929,8,,,
,,,,k,1,0.6138,,,,,,A2_B1,diplomacy,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,2,2,74,1,23,A1_B1,5.772727273,Noun,1,10.89,2.04,5.53,1.914,9,,,
,,,,,1,,,,,,,A1_B2,sterilize,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,3,3,141,1,44,A2_B1,2.954545455,Verb,1,11.68,2.97,5.59,1.398,9,,,
,,,,,1,,,,,,,A1_B2,cleanse,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,4,4,253,1,5,A2_B1,2.75,Verb,1,8.11,3.31,6.65,1.875,7,,,
,,,,,1,,,,,,,A1_B2,refuel,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,5,5,81,1,26,A1_B2,1.954545455,Verb,1,10.22,3.53,5.5,1.643,6,,,
,,,,k,1,1.0147,,,,,,A1_B1,vantage,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,6,6,260,1,7,A1_B1,2.65,Noun,1,12.1,1.93,5.95,1.602,7,,,
,,,,k,1,0.6271,,,,,,A1_B1,agility,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,7,7,48,1,17,A2_B1,2.869565217,Noun,1,10.06,2.38,6.55,1.38,7,,,
,,,,,1,,,,,,,A1_B2,extend,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,8,8,169,1,53,A1_B1,2.909090909,Verb,1,9.89,2.93,5.86,2.516,6,,,
,,,,,1,,,,,,,A1_B2,visualize,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,9,9,49,1,17,A2_B1,2.458333333,Verb,1,9.88,2.45,6.58,1.949,9,,,
,,,,k,1,0.6829,,,,,,A1_B1,outage,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,10,10,204,1,63,A2_B2,2.95,Noun,1,9.06,2.83,3.86,1.342,6,,,
,,,,,1,,,,,,,A1_B2,finalize,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,11,11,197,1,61,A1_B2,2.545454545,Verb,1,10.3,2.14,5.6,1.431,8,,,
,,,,k,1,0.78,,,,,,A2_B1,reviewer,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,12,12,10,1,4,A1_B2,5.272727273,Noun,1,9.68,3.67,5.16,1.431,8,,,
,,,,,1,,,,,,,A2_B2,propose,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,13,13,219,1,67,A2_B1,5.541666667,Verb,1,9,2.19,6.26,2.822,7,,,
,,,,k,1,0.6559,,,,,,A2_B1,patriot,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,14,14,82,1,26,A1_B2,5.695652174,Noun,0.97,10.14,3.36,5.8,2.127,7,,,
,,,,k,1,0.7603,,,,,,A1_B1,jiffy,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,15,15,160,1,50,A1_B2,2.722222222,Noun,1,9.33,2.33,6.09,1.909,5,,,
,,,,k,1,0.5833,,,,,,A2_B1,ancestry,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,16,16,102,1,33,A1_B1,5.142857143,Noun,1,10.11,2.83,6.29,1.398,8,,,
,,,,,1,,,,,,,A1_B2,renew,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,17,17,161,1,50,A1_B2,2.958333333,Verb,1,10.06,2.07,6,2.049,5,,,
,,,,k,1,0.6542,,,,,,A2_B1,mankind,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,18,18,222,1,68,A2_B2,6.5,Noun,1,8.89,2.97,6.59,2.651,7,,,
,,,,,1,,,,,,,A2_B2,pray,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,19,19,267,1,8,A1_B2,5.045454545,Verb,0.96,5.79,3.21,6.57,3.267,4,,,
,,,,k,1,0.6562,,,,,,A2_B1,temptress,k,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,20,20,122,1,39,A2_B2,5.086956522,Noun,0.91,12.2,3.08,4.68,1.38,9,,,
,,,,,1,,,,,,,A1_B2,accelerate,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,21,21,189,1,59,A1_B1,2.25,Verb,1,10.74,3.48,6.1,1.819,10,,,
,,,,,1,,,,,,,A1_B2,straddle,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,22,22,133,1,42,A1_B1,2.714285714,Verb,1,9.11,3.74,5.62,1.431,8,,,
,,,,,1,,,,,,,A2_B2,participate,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,23,23,239,1,1,A2_B1,5.869565217,Verb,1,7.05,2.59,5.5,2.352,11,,,
,,,,,1,,,,,,,A2_B2,impress,,R_z6dwCbGgm0VrUml,MainNoun,2022-09-21_12h54.48.858,SCT,2021.2.3,Win32,59.61607249,,,,0,24,24,63,1,20,A2_B1,5.333333333,Verb,1,10.17,2.07,6.25,2.717,7,,,
